Unique_id,job_42,household_type,studying,insee_code,Activity_type,age_2020,Qualification,Sex,target
147,"csp_7_7","fm2_0",FALSE,"01041","tact21",67,"EDU1-3","Female","T"
150,"csp_7_7","fm4_4",FALSE,"01043","tact21",72,"EDU3","Female","T"
152,"csp_5_2","fm1_2",FALSE,"01043","tact12",62,"EDU1-4","Female","T"
153,"csp_7_8","fm4_4",FALSE,"01043","tact21",70,"EDU1-3","Female","T"
155,"csp_7_7","fm1_2",FALSE,"01043","tact21",88,"EDU1-1","Female","T"
160,"csp_4_2","fm4_3",FALSE,"01047","tact12",47,"EDU1-9","Male","T"
161,"csp_5_2","fm4_1",FALSE,"01047","tact11",52,"EDU1-3","Female","L"
162,"csp_8_5","fm4_2",TRUE,"01049","tact22",15,"EDU3","Male","T"
163,"csp_7_7","fm3_2",FALSE,"01049","tact21",71,"EDU2","Female","T"
164,"csp_6_8","fm1_1",FALSE,"01049","tact11",20,"EDU3","Male","T"
166,"csp_8_5","fm4_4",FALSE,"01052","tact25",41,"EDU1-7","Female","T"
168,"csp_7_5","fm4_4",FALSE,"01053","tact21",84,"EDU1-2","Female","T"
169,"csp_8_5","fm4_2",FALSE,"01053","tact24",32,"EDU1-3","Female","T"
170,"csp_7_8","fm1_1",FALSE,"01053","tact21",71,"EDU1","Male","T"
172,"csp_7_5","fm4_2",FALSE,"01053","tact21",59,"EDU1-6","Female","L"
173,"csp_4_8","fm4_3",FALSE,"01053","tact11",25,"EDU1-6","Female","L"
174,"csp_8_5","fm4_1",TRUE,"01053","tact22",15,"EDU3","Male","L"
175,"csp_5_2","fm4_1",FALSE,"01053","tact11",50,"EDU1-4","Male","L"
179,"csp_5_4","fm4_1",FALSE,"01053","tact11",34,"EDU1-6","Male","L"
181,"csp_6_5","fm4_2",FALSE,"01053","tact11",49,"EDU3","Male","L"
182,"csp_5_5","fm4_1",FALSE,"01053","tact11",37,"EDU1-3","Female","L"
185,"csp_5_6","fm4_1",TRUE,"01053","tact11",18,"EDU1-3","Female","T"
186,"csp_6_9","fm4_1",FALSE,"01053","tact11",46,"EDU1-3","Male","L"
189,"csp_7_8","fm4_1",FALSE,"01053","tact21",72,"EDU1-3","Female","T"
191,"csp_8_5","fm4_2",TRUE,"01053","tact22",15,"EDU3","Male","L"
192,"csp_8_4","fm4_1",TRUE,"01053","tact22",15,"EDU1-2","Female","L"
198,"csp_7_4","fm4_4",FALSE,"01053","tact21",73,"EDU1-8","Male","L"
199,"csp_8_6","fm4_4",FALSE,"01053","tact25",64,"EDU1-3","Female","T"
203,"csp_6_3","fm4_1",FALSE,"01053","tact11",36,"EDU1-3","Male","L"
204,"csp_7_7","fm4_4",FALSE,"01053","tact21",64,"EDU1-3","Female","T"
205,"csp_5_3","fm3_2",FALSE,"01053","tact11",45,"EDU1-4","Female","L"
206,"csp_6_2","fm1_1",FALSE,"01053","tact11",55,"EDU1-6","Male","L"
208,"csp_7_8","fm4_3",FALSE,"01053","tact21",66,"EDU2","Male","L"
209,"csp_3_1","fm4_1",FALSE,"01053","tact11",40,"EDU1-8","Male","L"
212,"csp_8_4","fm1_2",TRUE,"01053","tact22",25,"EDU1-4","Female","L"
213,"csp_7_1","fm4_4",FALSE,"01053","tact21",80,"EDU1-1","Male","T"
216,"csp_5_2","fm1_2",FALSE,"01053","tact11",23,"EDU1-4","Female","L"
217,"csp_6_7","fm4_4",FALSE,"01053","tact12",51,"EDU1-3","Female","L"
218,"csp_7_2","fm3_1",FALSE,"01053","tact21",73,"EDU1-2","Male","L"
219,"csp_6_2","fm4_1",FALSE,"01053","tact11",23,"EDU1-5","Male","L"
221,"csp_6_8","fm4_1",FALSE,"01053","tact11",26,"EDU1-3","Male","L"
222,"csp_1_1","fm3_2",FALSE,"01053","tact11",63,"EDU1-3","Male","L"
224,"csp_6_3","fm1_1",TRUE,"01053","tact11",22,"EDU1-2","Male","L"
230,"csp_7_1","fm1_2",FALSE,"01053","tact21",74,"EDU3","Female","T"
231,"csp_3_1","fm4_1",FALSE,"01053","tact11",56,"EDU1-8","Male","T"
232,"csp_8_4","fm3_2",TRUE,"01053","tact22",19,"EDU3","Female","T"
233,"csp_4_6","fm4_1",FALSE,"01053","tact11",56,"EDU1-3","Male","L"
235,"csp_8_4","fm4_2",TRUE,"01053","tact22",17,"EDU1-4","Female","L"
237,"csp_5_2","fm3_2",FALSE,"01053","tact11",53,"EDU1-3","Male","L"
239,"csp_7_2","fm4_4",FALSE,"01053","tact21",67,"EDU1-3","Male","L"
240,"csp_8_4","fm4_2",TRUE,"01054","tact22",18,"EDU1-2","Male","L"
241,"csp_6_3","fm1_1",FALSE,"01054","tact11",58,"EDU1-3","Male","L"
243,"csp_7_7","fm1_2",FALSE,"01061","tact21",68,"EDU1-1","Female","T"
244,"csp_4_2","fm4_4",FALSE,"01061","tact11",54,"EDU1-9","Female","T"
245,"csp_2_2","fm4_2",FALSE,"01062","tact11",40,"EDU1-7","Male","T"
247,"csp_8_4","fm3_1",TRUE,"01064","tact22",21,"EDU1-2","Male","T"
252,"csp_3_7","fm4_1",FALSE,"01069","tact11",43,"EDU1-7","Male","T"
254,"csp_5_4","fm4_3",FALSE,"01071","tact11",63,"EDU2","Female","T"
255,"csp_3_8","fm4_1",FALSE,"01071","tact11",32,"EDU1-7","Female","T"
257,"csp_7_2","fm1_2",FALSE,"01071","tact21",83,"EDU1-3","Female","T"
259,"csp_7_7","fm4_3",FALSE,"01071","tact21",54,"EDU1-2","Male","T"
260,"csp_2_1","fm3_1",FALSE,"01071","tact11",27,"EDU3","Male","T"
261,"csp_7_5","fm4_4",FALSE,"01071","tact21",65,"EDU1-5","Female","T"
265,"csp_7_5","fm4_4",FALSE,"01071","tact21",63,"EDU1-4","Female","T"
266,"csp_3_4","fm1_1",FALSE,"01071","tact11",63,"EDU1-8","Male","T"
267,"csp_6_7","fm4_3",FALSE,"01071","tact11",20,"EDU2","Male","T"
271,"csp_5_6","fm1_2",FALSE,"01072","tact11",62,"EDU1-3","Female","T"
276,"csp_7_7","fm3_2",FALSE,"01072","tact21",81,"EDU3","Female","T"
278,"csp_5_4","fm4_1",FALSE,"01074","tact11",54,"EDU1-4","Female","L"
279,"csp_8_6","fm4_3",FALSE,"01074","tact21",63,"EDU1-3","Male","T"
282,"csp_2_1","fm4_1",FALSE,"01074","tact11",29,"EDU1-3","Male","L"
283,"csp_1_1","fm4_1",FALSE,"01074","tact11",67,"EDU1-5","Male","T"
284,"csp_4_7","fm1_1",FALSE,"01074","tact11",26,"EDU1-7","Male","L"
285,"csp_4_6","fm4_3",FALSE,"01074","tact11",59,"EDU1-5","Female","T"
288,"csp_5_6","fm4_1",FALSE,"01076","tact11",57,"EDU1-3","Female","L"
289,"csp_3_4","fm4_2",FALSE,"01078","tact11",50,"EDU1-9","Male","T"
290,"csp_5_4","fm4_3",FALSE,"01080","tact11",57,"EDU1-4","Female","L"
291,"csp_4_6","fm4_1",FALSE,"01081","tact11",44,"EDU3","Male","L"
292,"csp_8_5","fm4_4",FALSE,"01082","tact24",52,"EDU1-2","Female","T"
295,"csp_4_6","fm2_0",TRUE,"01084","tact11",22,"EDU1-8","Female","T"
299,"csp_5_5","fm3_2",FALSE,"01089","tact11",27,"EDU1-6","Female","L"
301,"csp_2_1","fm4_2",FALSE,"01089","tact11",61,"EDU1-3","Male","T"
302,"csp_7_5","fm1_2",FALSE,"01092","tact21",92,"EDU1-1","Female","T"
303,"csp_6_2","fm1_1",FALSE,"01092","tact11",28,"EDU1-2","Male","L"
304,"csp_5_5","fm4_3",FALSE,"01093","tact12",45,"EDU1-3","Male","T"
305,"csp_7_8","fm4_3",FALSE,"01093","tact21",77,"EDU1-3","Male","T"
306,"csp_8_4","fm4_1",TRUE,"01093","tact22",20,"EDU1-2","Female","L"
311,"csp_4_2","fm1_2",FALSE,"01093","tact11",48,"EDU1-7","Female","T"
313,"csp_4_3","fm1_2",FALSE,"01093","tact11",63,"EDU1-7","Female","T"
314,"csp_7_7","fm1_2",FALSE,"01093","tact21",65,"EDU1-2","Female","T"
316,"csp_5_2","fm1_1",FALSE,"01096","tact11",44,"EDU1-4","Male","L"
317,"csp_4_6","fm4_4",FALSE,"01098","tact11",30,"EDU1-3","Male","L"
318,"csp_7_7","fm4_4",FALSE,"01099","tact21",73,"EDU1-4","Female","T"
319,"csp_4_6","fm1_1",FALSE,"01103","tact11",51,"EDU1-6","Male","L"
320,"csp_6_4","fm1_1",FALSE,"01103","tact11",52,"EDU1-5","Male","T"
322,"csp_8_4","fm4_2",TRUE,"01104","tact22",16,"EDU3","Female","T"
323,"csp_6_8","fm4_2",FALSE,"01104","tact11",32,"EDU1-7","Male","L"
324,"csp_8_4","fm1_2",TRUE,"01105","tact22",22,"EDU1-4","Female","T"
328,"csp_3_7","fm4_1",FALSE,"01109","tact11",48,"EDU1-7","Female","T"
329,"csp_8_5","fm4_1",FALSE,"01109","tact25",19,"EDU2","Male","T"
332,"csp_6_3","fm4_4",FALSE,"01109","tact11",26,"EDU1-5","Male","L"
333,"csp_5_2","fm3_2",FALSE,"01109","tact11",65,"EDU1-1","Female","T"
335,"csp_8_6","fm4_4",FALSE,"01110","tact24",63,"EDU1-1","Female","T"
337,"csp_7_8","fm1_1",FALSE,"01112","tact21",79,"EDU1","Male","T"
338,"csp_5_6","fm4_1",FALSE,"01113","tact11",58,"EDU1-3","Female","T"
343,"csp_5_4","fm4_1",FALSE,"01127","tact11",28,"EDU1-7","Female","T"
344,"csp_4_2","fm4_1",FALSE,"01127","tact11",39,"EDU1-7","Female","L"
345,"csp_4_6","fm4_1",FALSE,"01130","tact11",60,"EDU1-6","Female","L"
347,"csp_1_1","fm4_1",FALSE,"01134","tact11",63,"EDU3","Male","T"
350,"csp_6_8","fm3_2",FALSE,"01135","tact11",42,"EDU1-8","Female","L"
353,"csp_8_5","fm1_1",FALSE,"01136","tact25",59,"EDU1-1","Male","T"
358,"csp_3_7","fm1_1",FALSE,"01142","tact12",50,"EDU1-6","Male","T"
360,"csp_5_4","fm4_1",FALSE,"01142","tact11",48,"EDU1-6","Female","L"
361,"csp_8_5","fm4_4",FALSE,"01142","tact24",56,"EDU1-4","Female","T"
363,"csp_4_5","fm4_3",FALSE,"01142","tact11",37,"EDU1-5","Female","L"
365,"csp_6_3","fm4_2",FALSE,"01142","tact11",31,"EDU3","Male","L"
367,"csp_6_5","fm1_1",FALSE,"01143","tact11",25,"EDU1-3","Male","L"
373,"csp_5_2","fm3_2",TRUE,"01143","tact12",20,"EDU1-4","Female","T"
376,"csp_7_5","fm4_4",FALSE,"01143","tact21",75,"EDU1-3","Male","T"
378,"csp_7_8","fm2_0",FALSE,"01143","tact21",98,"EDU1-1","Female","T"
379,"csp_8_4","fm4_2",TRUE,"01143","tact22",18,"EDU1-2","Female","L"
380,"csp_5_6","fm4_3",FALSE,"01143","tact11",52,"EDU3","Female","T"
381,"csp_4_6","fm4_4",FALSE,"01143","tact12",61,"EDU1-5","Female","T"
382,"csp_6_2","fm3_1",FALSE,"01143","tact11",47,"EDU1-2","Male","L"
383,"csp_4_7","fm4_1",FALSE,"01143","tact11",32,"EDU1-6","Male","L"
384,"csp_7_7","fm4_4",FALSE,"01143","tact21",74,"EDU1-4","Female","T"
385,"csp_6_7","fm4_3",FALSE,"01143","tact12",52,"EDU1-3","Male","T"
386,"csp_7_4","fm4_4",FALSE,"01146","tact21",73,"EDU1-6","Male","T"
387,"csp_7_7","fm1_2",FALSE,"01147","tact21",65,"EDU1-1","Female","T"
389,"csp_8_5","fm4_1",TRUE,"01148","tact25",18,"EDU2","Male","T"
390,"csp_4_3","fm4_1",FALSE,"01148","tact11",42,"EDU1-7","Male","T"
391,"csp_7_4","fm1_1",FALSE,"01148","tact21",89,"EDU1-7","Male","T"
393,"csp_7_7","fm4_4",FALSE,"01148","tact21",66,"EDU1-2","Female","T"
394,"csp_7_2","fm4_3",FALSE,"01148","tact21",67,"EDU1-1","Male","T"
395,"csp_7_1","fm1_2",FALSE,"01149","tact21",92,"EDU1-1","Female","T"
396,"csp_6_7","fm4_1",FALSE,"01149","tact11",45,"EDU2","Female","L"
399,"csp_7_2","fm4_4",FALSE,"01153","tact21",97,"EDU2","Female","T"
400,"csp_8_4","fm3_1",TRUE,"01153","tact22",15,"EDU1-2","Female","T"
402,"csp_8_5","fm1_1",FALSE,"01153","tact25",58,"EDU1-2","Male","T"
403,"csp_4_7","fm1_1",FALSE,"01153","tact11",62,"EDU1-3","Male","T"
406,"csp_6_2","fm4_1",FALSE,"01156","tact11",55,"EDU1-3","Male","L"
408,"csp_4_2","fm1_2",FALSE,"01157","tact11",30,"EDU1-8","Female","T"
410,"csp_6_7","fm4_1",FALSE,"01157","tact11",46,"EDU1-3","Male","L"
411,"csp_7_8","fm4_3",FALSE,"01158","tact21",62,"EDU1-3","Male","T"
412,"csp_7_8","fm1_2",FALSE,"01159","tact21",80,"EDU1-1","Female","T"
413,"csp_4_2","fm4_1",FALSE,"01159","tact11",49,"EDU1-8","Female","L"
414,"csp_6_4","fm4_1",FALSE,"01159","tact11",56,"EDU3","Male","L"
415,"csp_3_7","fm4_1",FALSE,"01159","tact11",46,"EDU1-6","Female","T"
418,"csp_3_8","fm4_1",FALSE,"01159","tact11",60,"EDU1-8","Male","T"
422,"csp_7_7","fm4_4",FALSE,"01160","tact21",84,"EDU1-4","Male","T"
423,"csp_7_8","fm4_3",FALSE,"01160","tact21",65,"EDU1-8","Male","T"
425,"csp_4_7","fm4_1",FALSE,"01160","tact11",57,"EDU1-3","Male","L"
426,"csp_5_2","fm4_1",FALSE,"01160","tact11",45,"EDU1-5","Female","T"
428,"csp_8_5","fm4_4",FALSE,"01160","tact25",51,"EDU1-3","Male","T"
429,"csp_7_5","fm3_2",FALSE,"01160","tact21",88,"EDU1-4","Female","T"
435,"csp_3_7","fm4_1",FALSE,"01160","tact11",46,"EDU1-6","Female","T"
437,"csp_4_7","fm1_1",FALSE,"01160","tact11",30,"EDU1-3","Male","L"
439,"csp_4_6","fm2_0",FALSE,"01163","tact12",33,"EDU1-4","Female","T"
440,"csp_5_6","fm3_2",FALSE,"01163","tact11",58,"EDU1-2","Female","T"
441,"csp_8_4","fm3_2",TRUE,"01163","tact22",20,"EDU1-2","Male","L"
443,"csp_4_6","fm4_1",FALSE,"01169","tact11",36,"EDU1-6","Female","L"
444,"csp_6_8","fm1_1",FALSE,"01169","tact11",23,"EDU1-3","Male","L"
445,"csp_2_1","fm3_1",FALSE,"01170","tact11",48,"EDU1-3","Male","T"
446,"csp_7_7","fm1_2",FALSE,"01173","tact21",77,"EDU1-4","Female","T"
449,"csp_8_4","fm2_0",TRUE,"01173","tact22",28,"EDU1-4","Male","T"
450,"csp_8_5","fm3_2",TRUE,"01173","tact22",16,"EDU3","Female","T"
451,"csp_8_1","fm4_2",FALSE,"01173","tact12",31,"EDU1-4","Female","L"
454,"csp_5_6","fm4_1",FALSE,"01173","tact11",58,"EDU1-3","Female","T"
455,"csp_8_4","fm3_2",TRUE,"01173","tact22",15,"EDU1-2","Female","T"
456,"csp_6_2","fm4_1",FALSE,"01173","tact11",33,"EDU1-5","Male","L"
457,"csp_3_8","fm4_1",FALSE,"01173","tact11",63,"EDU1-8","Male","T"
460,"csp_3_8","fm3_2",FALSE,"01173","tact11",46,"EDU1-6","Female","T"
462,"csp_8_5","fm4_1",TRUE,"01173","tact22",17,"EDU3","Male","T"
463,"csp_2_2","fm4_1",FALSE,"01173","tact11",51,"EDU1-6","Male","T"
467,"csp_7_4","fm1_1",FALSE,"01173","tact21",69,"EDU1-3","Male","T"
468,"csp_7_5","fm4_4",FALSE,"01173","tact21",76,"EDU1-1","Male","T"
470,"csp_7_5","fm4_4",FALSE,"01174","tact21",69,"EDU1-4","Female","L"
472,"csp_8_4","fm4_1",TRUE,"01177","tact22",15,"EDU1-2","Female","L"
474,"csp_4_6","fm4_1",FALSE,"01179","tact11",36,"EDU1-6","Female","L"
480,"csp_3_3","fm4_1",FALSE,"01185","tact11",57,"EDU1-6","Male","T"
481,"csp_5_4","fm4_1",FALSE,"01185","tact11",55,"EDU1-6","Female","L"
482,"csp_8_4","fm3_2",TRUE,"01185","tact22",20,"EDU1-2","Male","L"
483,"csp_7_2","fm4_4",FALSE,"01185","tact21",76,"EDU1-3","Male","T"
484,"csp_6_2","fm4_1",FALSE,"01185","tact11",36,"EDU1-5","Male","L"
486,"csp_6_2","fm4_1",FALSE,"01185","tact11",42,"EDU1-3","Male","L"
487,"csp_3_4","fm4_1",FALSE,"01189","tact11",44,"EDU1-7","Female","L"
489,"csp_8_5","fm4_1",TRUE,"01192","tact22",17,"EDU3","Male","T"
490,"csp_7_8","fm4_4",FALSE,"01192","tact21",76,"EDU1","Male","T"
494,"csp_8_5","fm3_2",FALSE,"01194","tact25",20,"EDU1-2","Male","T"
495,"csp_5_2","fm4_1",FALSE,"01194","tact11",54,"EDU1-3","Female","T"
496,"csp_4_3","fm3_1",FALSE,"01194","tact11",59,"EDU1-7","Male","T"
497,"csp_4_5","fm4_1",FALSE,"01194","tact11",35,"EDU1-7","Female","L"
498,"csp_8_4","fm4_1",TRUE,"01194","tact22",20,"EDU1-2","Male","T"
499,"csp_6_7","fm2_0",FALSE,"01194","tact11",42,"EDU2","Female","T"
500,"csp_4_3","fm3_1",FALSE,"01194","tact11",60,"EDU1-6","Male","L"
501,"csp_6_2","fm4_4",FALSE,"01194","tact12",46,"EDU1-3","Male","L"
502,"csp_6_3","fm2_0",FALSE,"01194","tact12",27,"EDU1-3","Male","T"
503,"csp_7_4","fm4_4",FALSE,"01194","tact21",72,"EDU1-4","Male","T"
505,"csp_3_4","fm4_1",FALSE,"01195","tact11",41,"EDU1-7","Male","T"
506,"csp_6_3","fm4_1",FALSE,"01195","tact11",50,"EDU1-3","Male","L"
507,"csp_8_5","fm4_1",TRUE,"01195","tact25",20,"EDU1-2","Female","T"
510,"csp_3_8","fm4_1",FALSE,"01199","tact11",39,"EDU1-3","Male","L"
511,"csp_2_1","fm4_1",FALSE,"01199","tact11",36,"EDU1-7","Male","T"
512,"csp_4_3","fm4_1",FALSE,"01199","tact11",45,"EDU1-7","Female","L"
513,"csp_7_5","fm2_0",FALSE,"01199","tact21",65,"EDU1-7","Female","T"
514,"csp_3_7","fm4_2",FALSE,"01199","tact11",53,"EDU1-8","Male","T"
515,"csp_7_8","fm4_4",FALSE,"01199","tact21",67,"EDU1-3","Male","T"
517,"csp_7_5","fm4_3",FALSE,"01202","tact21",68,"EDU1-4","Male","T"
518,"csp_4_7","fm4_1",FALSE,"01202","tact11",45,"EDU2","Male","T"
521,"csp_8_4","fm4_2",TRUE,"01202","tact22",20,"EDU1-2","Female","L"
527,"csp_8_4","fm3_1",TRUE,"01206","tact22",15,"EDU1-2","Female","T"
530,"csp_5_5","fm1_2",FALSE,"01212","tact11",26,"EDU1-6","Female","L"
531,"csp_2_1","fm2_0",FALSE,"01213","tact11",28,"EDU1-4","Female","L"
532,"csp_7_2","fm4_4",FALSE,"01213","tact21",73,"EDU1-3","Male","T"
535,"csp_7_1","fm1_2",FALSE,"01216","tact21",68,"EDU1-1","Female","T"
537,"csp_7_7","fm4_1",FALSE,"01219","tact21",91,"EDU1-2","Female","L"
540,"csp_7_5","fm4_4",FALSE,"01224","tact21",74,"EDU1-3","Male","T"
542,"csp_5_5","fm1_1",FALSE,"01224","tact12",26,"EDU1-5","Male","L"
544,"csp_4_6","fm4_1",FALSE,"01227","tact11",36,"EDU1-6","Female","L"
546,"csp_2_1","fm4_1",FALSE,"01227","tact11",30,"EDU1-5","Female","L"
548,"csp_7_7","fm4_4",FALSE,"01231","tact21",84,"EDU1-3","Female","T"
549,"csp_5_2","fm4_1",FALSE,"01231","tact11",47,"EDU1-2","Female","L"
552,"csp_8_4","fm1_1",TRUE,"01232","tact22",23,"EDU1-4","Male","L"
553,"csp_6_2","fm4_1",FALSE,"01232","tact11",58,"EDU1-3","Male","L"
555,"csp_2_1","fm4_1",FALSE,"01232","tact11",38,"EDU1-7","Female","T"
556,"csp_5_2","fm4_1",FALSE,"01232","tact11",56,"EDU1-3","Female","L"
557,"csp_6_2","fm3_1",FALSE,"01235","tact11",36,"EDU1-3","Male","L"
559,"csp_4_6","fm3_2",FALSE,"01236","tact11",30,"EDU3","Male","T"
561,"csp_5_6","fm1_2",TRUE,"01237","tact11",25,"EDU1-3","Female","T"
562,"csp_4_7","fm4_1",FALSE,"01237","tact11",54,"EDU1-4","Male","T"
565,"csp_6_3","fm4_1",FALSE,"01239","tact12",24,"EDU1-3","Male","L"
566,"csp_6_9","fm4_1",FALSE,"01241","tact11",41,"EDU1-5","Male","L"
569,"csp_4_2","fm3_2",FALSE,"01244","tact11",23,"EDU1-4","Male","L"
572,"csp_7_4","fm4_4",FALSE,"01244","tact21",73,"EDU1-5","Male","T"
578,"csp_5_4","fm3_1",FALSE,"01244","tact11",60,"EDU1-3","Male","T"
580,"csp_1_1","fm3_1",FALSE,"01244","tact11",52,"EDU1-5","Male","T"
585,"csp_5_3","fm4_2",FALSE,"01246","tact11",32,"EDU1-6","Male","L"
586,"csp_8_6","fm4_4",FALSE,"01246","tact24",81,"EDU1-7","Female","T"
592,"csp_7_8","fm4_4",FALSE,"01248","tact21",72,"EDU1-2","Female","T"
594,"csp_7_1","fm3_2",FALSE,"01248","tact21",86,"EDU2","Female","T"
595,"csp_5_2","fm4_1",FALSE,"01248","tact11",33,"EDU1-6","Female","L"
596,"csp_5_2","fm3_2",FALSE,"01249","tact11",44,"EDU1-3","Female","L"
599,"csp_4_3","fm4_1",FALSE,"01249","tact11",49,"EDU3","Female","L"
601,"csp_5_2","fm3_2",FALSE,"01249","tact12",41,"EDU3","Female","T"
602,"csp_5_4","fm4_1",FALSE,"01249","tact11",58,"EDU1-3","Female","L"
604,"csp_8_5","fm3_2",TRUE,"01249","tact22",15,"EDU3","Female","T"
605,"csp_4_7","fm4_1",FALSE,"01249","tact11",30,"EDU1-5","Female","T"
