Unique_id,activity_sector,Former_dep,Job_dep,job_desc,Contract_type,Job_category,JOB_CONDITION,COMPANY_CATEGORY,working_hours,EMPLOYEE_COUNT
665,"OZ","85","85","467d","CDI","O","C","ct_8",692,"tr_6"
666,"NZ","94","93","431d","CDI","O","P","ct_9",1054,"tr_1"
675,"CE","26","26","485a","CDI","O","C","ct_9",1747,"tr_6"
685,"NZ","57","76","684a","CDI","O","P","ct_9",693,"tr_6"
696,"OZ","36","36","434b","CDI","O","P","ct_8",1664,"tr_2"
703,"HZ","68","68","641b","CDI","O","C","ct_9",1602,"tr_4"
706,"CA","70","70","625d","CDI","O","C","ct_9",1696,"tr_6"
713,"KZ","78","78","467a","CDI","O","C","ct_9",1805,"tr_1"
729,"OZ","77","77","563a","AUT","O","C","ct_2",2028,"tr_2"
732,"OZ","85","85","461e","CDI","O","P","ct_8",1213,"tr_4"
748,"CM","35","50","623b","CDI","O","C","ct_9",1887,"tr_3"
755,"QB","56","56","563a","CDI","O","N","ct_7",1962,"tr_1"
759,"KZ","71","75","467c","CDI","O","C","ct_9",1821,"tr_4"
789,"CK","22","35","673c","CDI","O","P","ct_9",1025,"tr_6"
798,"EZ","34","34","684b","CDI","O","C","ct_9",1831,"tr_4"
808,"CG","19","87","373d","CDI","O","C","ct_9",1809,"tr_1"
810,"EZ","44","44","625h","CDI","O","C","ct_9",1533,"tr_2"
816,"HZ","49","49","451a","CDI","O","C","ct_9",1734,"tr_2"
818,"NZ","67","67","564a","CDI","O","C",NA,189,"tr_1"
828,"CC","89","89","352a","CDI","O","P","ct_9",642,"tr_3"
854,"HZ",NA,NA,"546b","CDI","O","C","ct_9",1791,"tr_6"
856,"PZ","78","78","422e","CDI","O","P","ct_8",1468,"tr_6"
872,"NZ","59","59","684a","CDI","O","P","ct_9",1947,"tr_6"
888,"QA","62","62","526e","CDI","O","P","ct_9",484,"tr_1"
897,"NZ","67","67","534a","CDI","O","C","ct_9",1862,"tr_3"
904,"OZ","81","31","333f","CDI","O","C","ct_2",1819,"tr_6"
915,"QB","33","33","563a","CDI","O","N","ct_7",3000,"tr_1"
919,"QB","89","89","525d","CDI","O","P","ct_9",1520,"tr_3"
925,"SZ","71","71","543h","CDI","O","C","ct_4",1703,"tr_5"
932,"GZ",NA,NA,"543b","CDI","O","C","ct_9",1849,"tr_1"
943,"PZ","10","10","525a","CDI","O","C","ct_8",1820,"tr_3"
963,"PZ","69","07","422c","CDI","O","P","ct_8",1583,"tr_4"
965,"FZ","62","59","472c","CDI","O","C","ct_9",1680,"tr_4"
968,"QA","33","33","525d","CDI","O","C","ct_9",1929,"tr_5"
975,"FZ","31","31","671c","CDI","O","C","ct_9",1582,"tr_6"
986,"GZ","57","57","344d","CDI","O","P","ct_9",1468,"tr_3"
988,"CH","02","77","623e","CDI","O","C","ct_9",1809,"tr_1"
999,"IZ","13","13","488b","CDI","O","C","ct_9",526,"tr_0"
1005,"GZ","63","63","684a","CDI","O","P",NA,643,NA
1010,"NZ","93","95","628a","CDI","O","C","ct_9",385,"tr_0"
1021,"QA","28","28","526a","CDI","O","C","ct_8",2036,"tr_5"
1022,"CA","53","53","674b","CDI","O","C","ct_9",666,"tr_5"
1054,"CA","69","01","676c","CDI","O","C","ct_9",1820,"tr_5"
1075,"GZ","83","06","626b","CDI","O","C","ct_9",1129,"tr_1"
1076,"NZ","50","50","691e","CDI","O","C","ct_8",1989,"tr_1"
1084,"SZ","09","09","562a","CDI","O","P","ct_9",565,"tr_1"
1087,"CL","40","40","623d","CDI","O","C","ct_9",1838,"tr_3"
1096,"CA","03","03","674b","CDI","O","P","ct_9",1777,"tr_6"
1101,"NZ","93","75","684a","CDI","O","P","ct_9",2364,"tr_6"
1102,"QA","70","70","525d","CDI","O","C","ct_8",1831,"tr_5"
1106,"HZ","77","77","641a","CDI","O","C","ct_9",2036,"tr_3"
1110,"QA","69","69","526b","CDI","O","C","ct_8",1931,"tr_2"
1111,"CI","28","28","623f","CDI","O","C","ct_9",1624,"tr_6"
1115,"HZ","55","55","521a","AUT","O","C","ct_9",1820,"tr_5"
1118,"PZ","65","65","341a","CDI","O","C","ct_8",2548,"tr_4"
1150,"QB","27","27","525d","CDI","O","C","ct_9",2237,"tr_4"
1171,"CG","80","76","674d","CDI","O","C","ct_9",1205,"tr_6"
1177,"KZ","59","59","545a","CDI","O","P","ct_9",1621,"tr_6"
1203,"FZ","01","69","481a","CDI","O","C","ct_9",1606,"tr_6"
1219,"NZ","71","21","534a","CDI","O","P","ct_9",1374,"tr_4"
1234,"NZ","83","83","534a","CDI","O","C","ct_9",2006,"tr_5"
1248,"HZ","07","07","451a","CDI","O","P","ct_9",1281,"tr_2"
1253,"FZ","33","33","633d","CDI","O","C","ct_9",1836,"tr_4"
1258,"CM","84","84","653a","CDI","O","C","ct_9",1742,"tr_3"
1271,"KZ","69","69","467c","CDI","O","C","ct_9",1820,"tr_3"
1273,"OZ","70","70","472d","AUT","O","C","ct_1",1820,"tr_5"
1288,"QA","92","92","525d","CDI","O","C","ct_8",1844,"tr_6"
1296,"CH","60","95","673a","CDI","O","C","ct_9",1140,"tr_2"
1309,"GZ","87","87","462b","CDI","O","C","ct_9",1604,"tr_3"
1325,"IZ","95","95","636d","CDI","O","C","ct_9",618,"tr_6"
1336,"OZ","59","59","545d","CDI","O","P","ct_8",999,"tr_5"
1349,"QB","60","60","563b","CDI","O","P","ct_8",1818,"tr_2"
1350,"QB","35","35","563b","AUT","O","P","ct_2",1575,"tr_3"
1351,"HZ","49","49","466c","CDI","O","C","ct_9",1843,"tr_6"
1358,"QA","33","33","525d","CDI","O","P","ct_8",770,"tr_6"
1373,"QB","75","92","434d","CDI","O","P","ct_8",1472,"tr_3"
1396,"CG","44","44","625c","CDI","O","P","ct_9",1204,"tr_5"
1399,"GZ","63","63","372b","CDI","O","C","ct_9",2096,"tr_6"
1402,"GZ","75","93","653a","CDI","O","P","ct_9",700,"tr_6"
1413,"GZ","67","67","554e","CDI","O","P","ct_9",1396,"tr_1"
1418,"FZ","38","69","623b","CDI","O","C","ct_9",1433,"tr_6"
1420,"CM","54","54","674c","CDI","O","C","ct_9",826,"tr_3"
1422,"QB","94","92","628g","CDI","O","C","ct_8",1828,"tr_3"
1423,"HZ","33","33","641a","CDI","O","C","ct_9",2423,"tr_3"
1433,"JB","06","75","478d","CDI","O","P","ct_9",720,"tr_1"
1434,"CH","74","74","373d","CDI","O","C","ct_9",1509,"tr_3"
1440,"MB","84","13","431f","CDI","O","C","ct_5",2041,"tr_6"
1447,"QB","13","13","431f","CDI","O","C","ct_8",1820,"tr_4"
1450,"QA","56","56","451h","CDI","O","C","ct_3",452,"tr_6"
1451,"GZ","68","68","653a","CDI","O","C","ct_9",1649,"tr_3"
1466,"NZ","58","58","488a","TTP","O","C","ct_9",681,"tr_2"
1491,"DZ","92","92","386d","CDI","O","C","ct_9",1771,"tr_6"
1507,"CM","70","70","675b","CDI","O","C","ct_9",1567,"tr_5"
1509,"GZ","85","16","463e","AUT","O","N","ct_9",205,"tr_4"
1524,"RZ","92","92","423b","CDI","O","C","ct_8",320,"tr_1"
1529,"PZ",NA,NA,"525b","CDI","O","P","ct_8",927,"tr_5"
1530,"FZ","53","53","543b","TTP","O","C",NA,171,NA
1532,"OZ","25","25","621f","CDI","O","P","ct_2",519,"tr_6"
1547,"RZ","74","74","424a","CDI","O","P","ct_8",638,"tr_3"
1584,"MA",NA,"92","371a","CDI","O","C","ct_9",1785,"tr_6"
1589,"GZ","2A","2A","541b","CDI","O","C","ct_9",1645,"tr_2"
1595,"GZ","26","26","554h","CDI","O","P","ct_9",361,"tr_1"
1604,"OZ","71","71","621f","AUT","O","C","ct_2",1820,"tr_3"
1613,"CA","30","30","691d","AUT","O","P",NA,303,NA
1624,"GZ","35","35","555a","CDI","O","P","ct_9",749,"tr_5"
1655,"CG","35","35","621b","CDI","O","C","ct_9",609,"tr_1"
1667,"NZ","77","77","676a","TTP","O","N","ct_9",492,"tr_1"
1668,"HZ","69","13","642b","CDI","O","N","ct_9",406,"tr_5"
1678,"PZ","29","29","422c","CDI","O","C","ct_8",1213,"tr_3"
1685,"PZ","59","59","423a","CDI","O","C","ct_9",1591,"tr_1"
1700,"HZ","59","59","451a","CDI","O","C","ct_9",1850,"tr_4"
1708,"QB","65","65","541b","TTP","O","P",NA,629,NA
1729,"TZ","73","73","563c","CDI","O","N","ct_7",1781,"tr_1"
1739,"TZ","54","54","563c","CDI","O","C",NA,846,NA
1744,"QB","33","33","525d","CDI","O","P","ct_9",1040,"tr_3"
1746,"HZ","77","93","477a","CDI","O","C","ct_9",1512,"tr_6"
1752,"QB","13","13","563b","CDI","O","N","ct_7",991,"tr_1"
1760,"QA","21","21","525d","CDI","O","C","ct_3",1820,"tr_6"
1767,"QA","38","69","526a","CDI","O","C","ct_9",2184,"tr_5"
1779,"HZ","16","16","643a","CDI","O","C","ct_9",1446,"tr_5"
1789,"OZ","94","93","451e","CDI","O","C","ct_8",1470,"tr_3"
1796,"CL","85","44","674d","CDI","O","C","ct_9",1820,"tr_6"
1807,"GZ","54","54","542a","CDI","O","P","ct_6",580,"tr_1"
1821,"KZ","35","35","545c","CDI","O","C","ct_8",1625,"tr_1"
1824,"OZ","2B","2B","621f","CDI","O","C",NA,416,NA
1832,"OZ","31","31","621f","AUT","O","C","ct_2",1820,"tr_6"
1842,"OZ","63","63","467d","CDI","O","C","ct_8",1820,"tr_5"
1852,"NZ","45","45","632a","TTP","O","C","ct_9",1179,"tr_1"
1859,"GZ","38","38","344d","CDI","O","P","ct_9",1261,"tr_1"
1863,"QB","29","29","685a","AUT","X","P","ct_8",774,"tr_4"
1866,"QA","05","05","431d","AUT","O","P","ct_3",1457,"tr_6"
1871,"GZ","91","91","552a","CDI","O","P","ct_9",1573,"tr_6"
1875,"GZ","22","29","462e","CDI","O","C","ct_9",759,"tr_4"
1876,"PZ","51","10","333e","CDI","O","C","ct_1",1820,"tr_6"
1877,"QA","26","26","525d","CDI","O","C","ct_9",685,"tr_5"
1888,"TZ","77","77","563c","CDI","O","P",NA,756,NA
1900,"QA","91","75","344a","CDI","O","P","ct_3",546,"tr_6"
1904,"NZ","09","09","554e","CDI","O","C",NA,343,"tr_3"
1912,"OZ","13","13","524c","AUT","O","P","ct_2",955,"tr_5"
1914,"AZ","66","66","691d","CDI","O","C",NA,231,NA
1935,"GZ",NA,NA,"462b","CDI","O","N","ct_9",1820,"tr_3"
1942,"EZ","92","92","386b","CDI","O","C","ct_9",1820,"tr_6"
1952,"HZ","64","93","546d","CDI","O","C","ct_9",349,"tr_6"
1955,"TZ","33","33","563c","CDD","O","C",NA,208,NA
1963,"QA",NA,NA,"526e","CDI","O","C",NA,152,NA
1975,"HZ","78","92","466a","CDI","O","C","ct_9",769,"tr_4"
1978,"NZ","75","75","564a","CDI","O","N","ct_8",3000,"tr_1"
1984,"QB","63","63","563b","AUT","O","P","ct_2",842,"tr_6"
1999,"HZ","13","13","451a","CDI","O","C","ct_9",1785,"tr_3"
2013,"GZ","13","44","374d","CDI","O","C","ct_9",1972,"tr_1"
2021,"CA","26","26","674c","CDI","O","C","ct_9",803,"tr_1"
2035,"GZ","42","42","463d","CDI","O","C","ct_9",1715,"tr_1"
2057,"CH","27","27","543f","CDI","O","C","ct_9",1624,"tr_5"
2072,"QB","82","47","525d","AUT","O","P","ct_3",809,"tr_4"
2073,"QB","86","86","525d","CDI","O","C","ct_3",1820,"tr_4"
2074,"QB","76","76","563b","CDI","O","N","ct_7",1666,"tr_1"
2080,"TZ","47","47","563c","CDI","O","C",NA,406,NA
2082,"SZ","34","34","486b","CDI","O","C","ct_9",1820,"tr_4"
2090,"OZ","57","57","621f","CDI","O","P","ct_2",953,"tr_2"
2112,"QB","27","27","525d","CDI","O","C","ct_8",1776,"tr_4"
2122,"JB","94","92","388a","CDI","O","C","ct_9",1771,"tr_6"
2124,"HZ","76","76","451a","CDI","O","C","ct_9",1821,"tr_3"
2142,"NZ","54","57","684a","CDI","O","C",NA,122,"tr_1"
2144,"CA","67","67","484a","CDI","O","C","ct_9",1507,"tr_1"
2150,"GZ","44","44","462d","CDI","O","P","ct_9",198,"tr_1"
2152,"CG","13","13","652a","CDI","O","C","ct_9",1729,"tr_2"
2161,"HZ",NA,NA,"643a","CDI","O","C","ct_9",1820,"tr_3"
2166,"MA","69","69","634c","CDI","O","C","ct_9",1083,"tr_1"
2183,"GZ","69","69","461e","CDI","O","C","ct_9",1669,"tr_3"
2187,"GZ","17","16","551a","CDI","O","C","ct_9",1911,"tr_6"
2201,"OZ","69","69","523b","AUT","O","C","ct_1",1820,"tr_2"
2205,"HZ","05","05","451a","CDI","O","P","ct_9",1153,"tr_3"
2217,"QA","33","33","542a","CDI","O","C","ct_6",304,"tr_1"
2219,"NZ","69","69","684a","CDI","O","C","ct_9",1427,"tr_4"
2234,"QB","61","61","563a","CDI","O","N","ct_7",3000,"tr_0"
2237,"HZ","83","83","641b","CDI","O","C","ct_9",1541,"tr_4"
2240,"CE","60","95","477a","CDI","O","C","ct_9",1827,"tr_5"
2247,"QB","57","57","691c","CDI","O","C","ct_8",1714,"tr_4"
2249,"IZ","57","57","561e","CDI","O","C","ct_9",1086,"tr_2"
2251,"SZ","71","71","471a","CDI","O","C","ct_4",1762,"tr_5"
2254,"RZ","95","92","435b","CDI","O","C","ct_8",1290,"tr_1"
2282,"QB","62","62","525d","CDI","O","P","ct_8",1523,"tr_3"
2284,"QB",NA,NA,"631a","AUT","X","P","ct_8",1560,"tr_5"
2285,"PZ","68","68","523b","CDI","O","C","ct_1",1820,"tr_6"
2289,"FZ",NA,NA,"642b","CDD","O","C","ct_9",941,"tr_1"
2312,"QB","83","83","526d","CDI","O","P","ct_8",1358,"tr_3"
2316,"FZ","31","31","481b","CDI","O","C","ct_9",1703,"tr_4"
2323,"QA","91","91","526b","CDI","O","C","ct_9",1682,"tr_1"
2339,"QB","62","62","524b","CDI","O","C","ct_8",1820,"tr_4"
2353,"CH","45","45","634b","CDI","O","C","ct_9",1627,"tr_6"
2365,"JC","38","01","543h","CDI","O","C","ct_9",1820,"tr_1"
2369,"QB","38","38","525d","CDI","O","C","ct_8",1831,"tr_4"
2380,"GZ","44","44","643a","CDI","O","C","ct_9",1820,"tr_3"
2388,"FZ","92","75","461c","CDI","O","C","ct_9",1820,"tr_1"
2394,"NZ","75","60","534a","CDI","O","C","ct_9",2630,"tr_6"
2400,"GZ","91","67","463e","AUT","O","C","ct_9",178,"tr_6"
2414,"HZ","31","31","641b","TOA","O","P","ct_9",506,"tr_6"
2415,"QA","57","54","541b","CDI","O","C","ct_8",1384,"tr_6"
2416,"NZ","18","18","631a","CDI","O","C","ct_9",2047,"tr_1"
2431,"HZ","91","77","451a","CDI","O","C","ct_9",1869,"tr_3"
2434,"GZ","27","27","433d","CDI","O","P","ct_9",579,"tr_2"
2448,"QB","75","75","526d","CDI","O","C","ct_8",1096,"tr_4"
2451,"NZ","91","75","534a","CDI","O","C","ct_9",1373,"tr_6"
2468,"QB","28","28","526a","CDI","O","C","ct_8",2002,"tr_4"
2471,"CA","22","35","636c","CDI","O","C","ct_6",2026,"tr_1"
2472,"OZ","37","37","461f","CDI","O","C","ct_1",1820,"tr_4"
2475,"HZ","93","77","461f","CDI","O","C","ct_9",393,"tr_3"
2480,"GZ","76","76","461f","CDI","O","C","ct_9",1847,"tr_3"
2481,"QA","28","28","525d","CDI","O","C","ct_9",1062,"tr_4"
2486,"QA","14","14","542a","CDI","O","P","ct_8",1481,"tr_5"
2500,"TZ","93","75","563c","CDI","O","N","ct_7",735,"tr_1"
2513,"KZ","29","29","372b","CDI","O","N","ct_9",1820,"tr_1"
2518,"HZ","07","07","451a","CDI","O","P","ct_9",1274,"tr_3"
2527,"CA","02","02","674c","CDI","O","C","ct_9",1820,"tr_5"
2528,"MA","75","75","382b","CDI","O","C","ct_9",1669,"tr_3"
2543,"CM","21","21","626b","CDI","O","C","ct_9",1533,"tr_5"
2558,"OZ","19","49","524a","CDI","O","C","ct_1",1820,"tr_6"
2571,"OZ","59","59","467d","CDI","O","C","ct_8",1849,"tr_6"
2576,"GZ","35","35","627d","CDI","O","C","ct_9",1595,"tr_4"
2579,"MB","78","78","524b","CDI","O","N",NA,151,NA
2594,"QB","59","59","563b","CDI","O","P","ct_8",917,"tr_6"
2600,"GZ","67","67","554f","CDI","O","C","ct_9",732,"tr_3"
2605,"QB","42","42","525d","CDI","O","P","ct_8",910,"tr_3"
2617,"NZ","02","51","684a","CDI","O","C","ct_9",1820,"tr_3"
2620,"CA","64","64","643a","CDI","O","C","ct_9",1784,"tr_2"
2638,"PZ","26","26","525a","CDI","O","P","ct_8",895,"tr_5"
2648,"QB","01","01","563a","CDI","O","N","ct_7",514,"tr_1"
2661,"MA","50","50","477c","CDI","O","C","ct_9",1855,"tr_4"
2664,"GZ","13","13","676a","CDI","O","C","ct_9",304,"tr_3"
2672,"TZ","92","92","563c","AUT","O","C",NA,408,NA
2681,"QB","59","59","563a","CDI","O","N","ct_7",1901,"tr_1"
2683,"TZ","38","38","563c","CDI","O","N",NA,323,NA
2689,"KZ","12","12","545c","CDI","O","C","ct_8",1820,"tr_6"
2694,"CA","13","13","475a","CDI","O","C","ct_9",1820,"tr_6"
2704,"GZ","93","93","462e","CDI","O","C","ct_9",1729,"tr_4"
2707,"NZ","91","91","526b","CDI","O","C","ct_9",857,"tr_1"
2709,"FZ","77","77","632j","CDI","O","C","ct_9",1370,"tr_2"
2711,"CB","75","75","465a","CDI","O","C","ct_9",1820,"tr_1"
2712,"GZ","24","24","551a","CDI","O","C","ct_9",1639,"tr_4"
2721,"QB","13","13","435b","CDI","O","P","ct_8",1310,"tr_4"
2741,"QB","92","95","542a","CDI","O","C","ct_9",607,"tr_3"
2743,"PZ","17","79","525b","CDI","O","P","ct_8",1066,"tr_3"
2752,"GZ","86","86","542a","CDI","O","C","ct_9",1722,"tr_1"
2766,"OZ","69","38","333f","CDI","O","C","ct_2",910,"tr_6"
2788,"CK","83","83","623g","CDI","O","C","ct_9",1659,"tr_3"
2797,"GZ","59","59","634a","CDI","O","C","ct_9",1673,"tr_3"
2802,"QB","18","18","525d","CDI","O","C","ct_8",1560,"tr_5"
2805,"QA","75","75","451h","CDI","O","P","ct_8",764,"tr_6"
2824,"SZ","13","13","461b","CDI","O","C","ct_8",1820,"tr_2"
2825,"OZ","17","17","333a","CDI","O","C",NA,162,NA
2830,"HZ","54","57","388a","CDI","O","C","ct_9",1820,"tr_5"
2832,"SZ","45","69","434a","CDI","O","C","ct_8",1718,"tr_3"
2833,"FZ","14","14","382d","CDI","O","C","ct_9",1792,"tr_3"
2837,"GZ","19","19","542a","CDI","O","C","ct_9",1820,"tr_3"
2852,"QB",NA,NA,"524c","CDI","O","P","ct_2",1352,"tr_4"
2859,"IZ","87","87","636d","CDI","O","C","ct_9",1284,"tr_2"
2865,"QB","34","34","636d","CDI","O","C","ct_9",1879,"tr_4"
2871,"QA","19","19","632k","AUT","O","P",NA,151,NA
2874,"KZ","92","75","344b","CDI","O","P","ct_9",1040,"tr_6"
2876,"NZ","94","75","632a","TTP","O","N","ct_9",288,"tr_1"
2910,"QB","05","05","526d","CDI","O","C","ct_8",1746,"tr_4"
2912,"PZ","13","13","341a","CDI","O","C","ct_8",1820,"tr_5"
2917,"NZ","93","93","534a","CDI","O","P","ct_9",236,"tr_4"
2923,"MA","63","63","543b","CDI","O","C","ct_9",1820,"tr_3"
2935,"TZ","41","41","563c","CDI","O","C",NA,1417,NA
2950,"QB","92","92","563a","CDI","O","N","ct_7",2806,"tr_1"
2953,"PZ","54","54","341a","CDI","O","C","ct_8",1820,"tr_4"
2980,"QB","59","59","525d","CDI","O","C","ct_8",577,"tr_6"
2985,"QB","15","15","563b","CDI","O","P","ct_8",1512,"tr_3"
2988,"TZ","28","28","563c","CDI","O","N","ct_7",1484,"tr_1"
2991,"QB","41","41","525d","CDI","O","C","ct_8",1622,"tr_3"
3000,"QA","02","02","526a","AUT","O","C","ct_3",1819,"tr_6"
3012,"GZ","76","76","543f","CDI","O","C","ct_9",1747,"tr_4"
3023,"PZ","52","52","333e","CDI","O","P","ct_1",1183,"tr_2"
3028,"JA","54","54","465b","CDI","O","C","ct_9",977,"tr_1"
3037,"QB","03","03","563a","CDI","O","N","ct_7",3000,"tr_1"
3066,"TZ","25","25","563c","CDI","O","C",NA,161,NA
3101,"HZ","62","59","487a","CDI","O","C","ct_9",1834,"tr_5"
3115,"GZ","62","62","543f","CDI","O","C","ct_9",1021,"tr_1"
3121,"OZ","94","94","332a","CDI","O","C","ct_1",1820,"tr_5"
3131,"QA","56","56","451h","CDI","O","C","ct_3",452,"tr_6"
3136,"QA","66","66","526a","CDI","O","P","ct_9",242,"tr_6"
3142,"QA","60","60","526a","CDI","O","P","ct_8",895,"tr_3"
3171,"LZ","59","59","472c","CDI","O","C","ct_9",1880,"tr_4"
3177,"IZ","57","57","468b","CDI","O","C","ct_9",2025,"tr_1"
3193,"IZ","75","75","542a","CDI","O","P","ct_9",360,"tr_4"
3198,"PZ","49","49","422e","CDI","O","P","ct_8",1673,"tr_3"
3206,"CH","72","72","626b","CDI","O","C","ct_9",833,"tr_5"
3207,"FZ",NA,NA,"685a","CDI","O","C","ct_9",1820,"tr_1"
3209,"CL","85","85","477b","CDI","O","C","ct_9",1426,"tr_5"
3222,"CI","08","08","672a","CDI","O","C","ct_9",1711,"tr_6"
3228,"GZ","72","72","543b","CDI","O","C","ct_9",2200,"tr_2"
3230,"GZ","37","37","551a","CDI","O","C","ct_9",1864,"tr_4"
3234,"CJ","07","07","652a","CDI","O","C","ct_9",1844,"tr_5"
3243,"GZ","24","24","433d","CDI","O","C","ct_9",1844,"tr_1"
3246,"NZ","35","35","634b","CDI","O","C","ct_9",1631,"tr_2"
3248,"OZ","67","67","467d","CDI","O","C","ct_8",1565,"tr_6"
3251,"FZ","75","91","621c","CDI","O","C","ct_9",1820,"tr_1"
3256,"HZ","26","26","676c","CDI","O","C","ct_9",1820,"tr_3"
3260,"RZ","74","74","543c","CDI","O","C","ct_8",1297,"tr_3"
3271,"HZ","92","92","451a","CDI","O","C","ct_9",1593,"tr_5"
3277,"QB","71","71","563b","CDI","O","P","ct_8",1770,"tr_2"
3291,"NZ","93","93","534a","CDI","O","C","ct_9",1675,"tr_6"
3306,"CB","21","21","675a","CDI","O","C","ct_9",1497,"tr_5"
3307,"FZ","95","51","632g","CDI","O","C","ct_9",626,"tr_2"
