Unique_id,former_job_42,Former_emp_contract,retirement_age
422,"csp_5_4","temp_1_5",60
423,"csp_6_3","temp_1_6",60
429,"csp_4_6","temp_1_6",65
446,"csp_5_5","temp_1_6",65
467,"csp_3_1","temp_2_2",62
468,"csp_4_5","temp_1_6",64
470,"csp_4_6","temp_1_6",65
483,"csp_2_3","temp_2_2",60
490,"csp_6_7","temp_1_5",57
503,"csp_3_4","temp_1_6",59
513,"csp_4_6","temp_1_6",62
515,"csp_6_3","temp_1_6",65
517,"csp_4_6","temp_1_6",60
532,"csp_2_1","temp_2_1",63
535,"csp_1_1","temp_2_1",60
537,"csp_5_2","temp_1_6",60
540,"csp_4_7","temp_1_6",60
548,"csp_5_6","temp_1_6",60
572,"csp_3_8","temp_1_6",60
592,"csp_6_5","temp_1_6",65
594,"csp_1_1","temp_2_1",65
606,"csp_2_1","temp_2_2",59
617,"csp_1_1","temp_2_1",60
621,"csp_5_4","temp_1_6",60
652,"csp_6_7","temp_1_6",61
660,"csp_2_2","temp_2_1",60
665,"csp_4_6","temp_1_6",60
666,"csp_4_3","temp_1_6",64
675,"csp_4_8","temp_1_6",60
685,"csp_6_8","temp_1_6",65
696,"csp_4_3","temp_1_6",55
703,"csp_6_4","temp_1_6",60
706,"csp_6_2","temp_1_6",59
713,"csp_4_6","temp_1_6",60
729,"csp_5_6","temp_1_5",60
732,"csp_4_6","temp_1_6",60
748,"csp_6_2","temp_1_6",60
755,"csp_5_6","temp_1_6",64
759,"csp_4_6","temp_1_6",65
789,"csp_6_7","temp_1_6",59
790,"csp_2_1","temp_2_2",60
798,"csp_6_8","temp_1_6",60
808,"csp_3_7","temp_1_6",59
810,"csp_6_2","temp_1_6",60
816,"csp_4_5","temp_1_6",60
818,"csp_5_6","temp_1_6",57
828,"csp_3_5","temp_1_6",60
836,"csp_2_2","temp_2_2",60
854,"csp_5_4","temp_1_6",60
856,"csp_4_2","temp_1_6",60
872,"csp_6_8","temp_1_6",54
887,"csp_1_3","temp_2_2",60
888,"csp_5_2","temp_1_6",65
897,"csp_5_3","temp_1_6",58
904,"csp_3_3","temp_1_6",57
913,"csp_2_2","temp_2_1",65
915,"csp_5_6","temp_1_6",60
916,"csp_2_2","temp_2_2",65
919,"csp_5_2","temp_1_6",60
920,"csp_3_1","temp_2_2",65
925,"csp_5_4","temp_1_6",54
932,"csp_5_4","temp_1_6",60
940,"csp_1_3","temp_2_2",65
943,"csp_5_2","temp_1_6",60
950,"csp_3_1","temp_2_1",61
961,"csp_2_2","temp_2_1",65
963,"csp_4_2","temp_1_6",60
965,"csp_4_7","temp_1_6",58
968,"csp_5_2","temp_1_6",57
975,"csp_6_7","temp_1_6",60
984,"csp_2_1","temp_2_1",64
986,"csp_3_4","temp_1_6",60
988,"csp_6_2","temp_1_6",60
998,"csp_1_3","temp_2_2",60
999,"csp_4_8","temp_1_6",65
1005,"csp_6_8","temp_1_6",60
1010,"csp_6_2","temp_1_6",60
1021,"csp_5_2","temp_1_6",58
1022,"csp_6_7","temp_1_6",60
1054,"csp_6_7","temp_1_6",60
1075,"csp_6_2","temp_1_6",60
1076,"csp_6_9","temp_1_6",60
1084,"csp_5_6","temp_1_6",61
1087,"csp_6_2","temp_1_6",60
1096,"csp_6_7","temp_1_6",60
1101,"csp_6_8","temp_1_6",66
1102,"csp_5_2","temp_1_6",60
1106,"csp_6_4","temp_1_6",60
1110,"csp_5_2","temp_1_6",58
1111,"csp_6_2","temp_1_6",56
1115,"csp_5_2","temp_1_5",60
1117,"csp_2_2","temp_2_1",60
1118,"csp_3_4","temp_1_6",60
1150,"csp_5_2","temp_1_6",60
1171,"csp_6_7","temp_1_6",60
1177,"csp_5_4","temp_1_6",63
1188,"csp_2_1","temp_2_1",60
1203,"csp_4_8","temp_1_6",60
1219,"csp_5_3","temp_1_6",58
1234,"csp_5_3","temp_1_6",60
1248,"csp_4_5","temp_1_6",60
1253,"csp_6_3","temp_1_6",57
1258,"csp_6_5","temp_1_6",56
1271,"csp_4_6","temp_1_6",56
1273,"csp_4_7","temp_1_2",59
1288,"csp_5_2","temp_1_6",63
1296,"csp_6_7","temp_1_6",60
1309,"csp_4_6","temp_1_6",60
1325,"csp_6_3","temp_1_6",60
1336,"csp_5_4","temp_1_6",65
1349,"csp_5_6","temp_1_6",60
1350,"csp_5_6","temp_1_5",59
1351,"csp_4_6","temp_1_6",60
1358,"csp_5_2","temp_1_6",60
1369,"csp_2_1","temp_2_1",60
1373,"csp_4_3","temp_1_6",60
1388,"csp_2_2","temp_2_1",59
1396,"csp_6_2","temp_1_6",64
1397,"csp_1_1","temp_2_2",60
1399,"csp_3_7","temp_1_6",60
1402,"csp_6_5","temp_1_6",65
1413,"csp_5_5","temp_1_6",60
1418,"csp_6_2","temp_1_6",60
1420,"csp_6_7","temp_1_6",55
1422,"csp_6_2","temp_1_6",64
1423,"csp_6_4","temp_1_6",60
1433,"csp_4_7","temp_1_6",61
1434,"csp_3_7","temp_1_6",62
1440,"csp_4_3","temp_1_6",60
1447,"csp_4_3","temp_1_6",60
1450,"csp_4_5","temp_1_6",65
1451,"csp_6_5","temp_1_6",60
1466,"csp_4_8","temp_1_5",60
1474,"csp_1_1","temp_2_1",60
1491,"csp_3_8","temp_1_6",58
1507,"csp_6_7","temp_1_6",60
1509,"csp_4_6","temp_1_5",61
1521,"csp_3_1","temp_2_1",56
1524,"csp_4_2","temp_1_6",60
1529,"csp_5_2","temp_1_6",63
1530,"csp_5_4","temp_1_5",65
1532,"csp_6_2","temp_1_6",60
1547,"csp_4_2","temp_1_6",60
1566,"csp_1_3","temp_2_2",64
1584,"csp_3_7","temp_1_6",58
1586,"csp_2_1","temp_2_1",50
1589,"csp_5_4","temp_1_6",60
1595,"csp_5_5","temp_1_6",55
1604,"csp_6_2","temp_1_2",60
1613,"csp_6_9","temp_1_5",64
1624,"csp_5_5","temp_1_6",55
1626,"csp_1_1","temp_2_2",57
1655,"csp_6_2","temp_1_6",60
1667,"csp_6_7","temp_1_5",60
1668,"csp_6_4","temp_1_6",65
1678,"csp_4_2","temp_1_6",65
1685,"csp_4_2","temp_1_6",60
1687,"csp_2_1","temp_2_1",60
1700,"csp_4_5","temp_1_6",51
1708,"csp_5_4","temp_1_5",60
1717,"csp_1_3","temp_2_3",61
1729,"csp_5_6","temp_1_6",60
1739,"csp_5_6","temp_1_6",60
1744,"csp_5_2","temp_1_6",53
1746,"csp_4_7","temp_1_6",60
1752,"csp_5_6","temp_1_6",65
1760,"csp_5_2","temp_1_6",60
1767,"csp_5_2","temp_1_6",62
1779,"csp_6_4","temp_1_6",50
1789,"csp_4_5","temp_1_6",65
1796,"csp_6_7","temp_1_6",55
1806,"csp_4_3","temp_2_1",60
1807,"csp_5_4","temp_1_6",60
1821,"csp_5_4","temp_1_6",55
1824,"csp_6_2","temp_1_6",65
1832,"csp_6_2","temp_1_5",60
1835,"csp_2_1","temp_2_2",60
1842,"csp_4_6","temp_1_6",60
1852,"csp_6_3","temp_1_5",59
1859,"csp_3_4","temp_1_6",60
1863,"csp_6_8","temp_1_3",60
1866,"csp_4_3","temp_1_5",60
1871,"csp_5_5","temp_1_6",60
1873,"csp_3_1","temp_2_2",60
1875,"csp_4_6","temp_1_6",60
1876,"csp_3_3","temp_1_6",60
1877,"csp_5_2","temp_1_6",60
1888,"csp_5_6","temp_1_6",65
1900,"csp_3_4","temp_1_6",60
1904,"csp_5_5","temp_1_6",60
1912,"csp_5_2","temp_1_5",60
1914,"csp_6_9","temp_1_6",56
1935,"csp_4_6","temp_1_6",60
1942,"csp_3_8","temp_1_6",60
1943,"csp_2_1","temp_2_1",60
1952,"csp_5_4","temp_1_6",60
1955,"csp_5_6","temp_1_5",66
1963,"csp_5_2","temp_1_6",64
1968,"csp_2_2","temp_2_1",65
1975,"csp_4_6","temp_1_6",65
1978,"csp_5_6","temp_1_6",63
1984,"csp_5_6","temp_1_5",60
1997,"csp_2_1","temp_2_2",60
1999,"csp_4_5","temp_1_6",55
2003,"csp_4_6","temp_2_1",55
2013,"csp_3_7","temp_1_6",61
2021,"csp_6_7","temp_1_6",60
2024,"csp_1_1","temp_2_1",56
2035,"csp_4_6","temp_1_6",60
2036,"csp_1_1","temp_2_1",62
2057,"csp_5_4","temp_1_6",60
2072,"csp_5_2","temp_1_5",63
2073,"csp_5_2","temp_1_6",65
2074,"csp_5_6","temp_1_6",61
2080,"csp_5_6","temp_1_6",55
2082,"csp_4_8","temp_1_6",55
2090,"csp_6_2","temp_1_6",60
2112,"csp_5_2","temp_1_6",60
2122,"csp_3_8","temp_1_6",59
2124,"csp_4_5","temp_1_6",60
2126,"csp_2_1","temp_2_1",58
2142,"csp_6_8","temp_1_6",60
2144,"csp_4_8","temp_1_6",63
2150,"csp_4_6","temp_1_6",65
2152,"csp_6_5","temp_1_6",64
2161,"csp_6_4","temp_1_6",60
2166,"csp_6_3","temp_1_6",64
2179,"csp_2_2","temp_2_2",65
2183,"csp_4_6","temp_1_6",60
2187,"csp_5_5","temp_1_6",60
2201,"csp_5_2","temp_1_5",64
2205,"csp_4_5","temp_1_6",56
2217,"csp_5_4","temp_1_6",61
2219,"csp_6_8","temp_1_6",62
2231,"csp_2_1","temp_2_1",59
2234,"csp_5_6","temp_1_6",65
2236,"csp_2_3","temp_2_2",60
2237,"csp_6_4","temp_1_6",60
2240,"csp_4_7","temp_1_6",60
2241,"csp_1_1","temp_2_1",57
2247,"csp_6_9","temp_1_6",60
2249,"csp_5_6","temp_1_6",60
2251,"csp_4_7","temp_1_6",56
2253,"csp_1_1","temp_2_1",68
2254,"csp_4_3","temp_1_6",60
2257,"csp_2_2","temp_2_1",65
2282,"csp_5_2","temp_1_6",60
2284,"csp_6_3","temp_1_3",60
2285,"csp_5_2","temp_1_6",65
2289,"csp_6_4","temp_1_5",57
2312,"csp_5_2","temp_1_6",60
2316,"csp_4_8","temp_1_6",60
2323,"csp_5_2","temp_1_6",60
2339,"csp_5_2","temp_1_6",60
2353,"csp_6_3","temp_1_6",60
2365,"csp_5_4","temp_1_6",65
2369,"csp_5_2","temp_1_6",54
2380,"csp_6_4","temp_1_6",59
2388,"csp_4_6","temp_1_6",60
2394,"csp_5_3","temp_1_6",60
2400,"csp_4_6","temp_1_5",56
2402,"csp_2_1","temp_2_1",58
2411,"csp_2_2","temp_2_1",60
2414,"csp_6_4","temp_1_5",62
2415,"csp_5_4","temp_1_6",60
2416,"csp_6_3","temp_1_6",60
2431,"csp_4_5","temp_1_6",60
2434,"csp_4_3","temp_1_6",65
2437,"csp_1_1","temp_2_1",61
2448,"csp_5_2","temp_1_6",60
2451,"csp_5_3","temp_1_6",64
2468,"csp_5_2","temp_1_6",58
2471,"csp_6_3","temp_1_6",58
2472,"csp_4_6","temp_1_6",55
2475,"csp_4_6","temp_1_6",60
2480,"csp_4_6","temp_1_6",60
2481,"csp_5_2","temp_1_6",60
2482,"csp_2_3","temp_2_2",60
2484,"csp_3_1","temp_2_1",61
2486,"csp_5_4","temp_1_6",61
2500,"csp_5_6","temp_1_6",65
2513,"csp_3_7","temp_1_6",60
2518,"csp_4_5","temp_1_6",61
2527,"csp_6_7","temp_1_6",60
2528,"csp_3_8","temp_1_6",65
2540,"csp_2_2","temp_2_2",51
2543,"csp_6_2","temp_1_6",60
2558,"csp_5_2","temp_1_6",57
2563,"csp_2_1","temp_2_2",63
2571,"csp_4_6","temp_1_6",60
2576,"csp_6_2","temp_1_6",60
2579,"csp_5_2","temp_1_6",65
2592,"csp_2_3","temp_2_2",60
2594,"csp_5_6","temp_1_6",63
2598,"csp_2_3","temp_2_2",62
2600,"csp_5_5","temp_1_6",60
2605,"csp_5_2","temp_1_6",60
2617,"csp_6_8","temp_1_6",57
2620,"csp_6_4","temp_1_6",59
2638,"csp_5_2","temp_1_6",65
2648,"csp_5_6","temp_1_6",60
2661,"csp_4_7","temp_1_6",54
2664,"csp_6_7","temp_1_6",65
2672,"csp_5_6","temp_1_5",64
2681,"csp_5_6","temp_1_6",59
2683,"csp_5_6","temp_1_6",60
2689,"csp_5_4","temp_1_6",60
2694,"csp_4_7","temp_1_6",60
2701,"csp_2_2","temp_2_1",62
2704,"csp_4_6","temp_1_6",60
2707,"csp_5_2","temp_1_6",65
2709,"csp_6_3","temp_1_6",60
2711,"csp_4_6","temp_1_6",65
2712,"csp_5_5","temp_1_6",54
2721,"csp_4_3","temp_1_6",60
2741,"csp_5_4","temp_1_6",65
2743,"csp_5_2","temp_1_6",60
2744,"csp_2_2","temp_2_1",60
2752,"csp_5_4","temp_1_6",65
2753,"csp_1_3","temp_2_2",60
2766,"csp_3_3","temp_1_6",60
2775,"csp_3_5","temp_2_1",60
2788,"csp_6_2","temp_1_6",60
2795,"csp_2_2","temp_2_1",60
2797,"csp_6_3","temp_1_6",58
2801,"csp_2_2","temp_2_2",56
2802,"csp_5_2","temp_1_6",60
2805,"csp_4_5","temp_1_6",60
2811,"csp_2_2","temp_2_1",60
2824,"csp_4_6","temp_1_6",64
2825,"csp_3_3","temp_1_6",65
2830,"csp_3_8","temp_1_6",63
2831,"csp_2_2","temp_2_2",58
2832,"csp_4_3","temp_1_6",65
2833,"csp_3_8","temp_1_6",59
2837,"csp_5_4","temp_1_6",57
2852,"csp_5_2","temp_1_6",60
2859,"csp_6_3","temp_1_6",60
2865,"csp_6_3","temp_1_6",53
2871,"csp_6_3","temp_1_2",60
2874,"csp_3_4","temp_1_6",60
2876,"csp_6_3","temp_1_5",60
2910,"csp_5_2","temp_1_6",58
2912,"csp_3_4","temp_1_6",60
2917,"csp_5_3","temp_1_6",64
2923,"csp_5_4","temp_1_6",60
2935,"csp_5_6","temp_1_6",60
2950,"csp_5_6","temp_1_6",64
2953,"csp_3_4","temp_1_6",63
2970,"csp_2_1","temp_2_2",60
2975,"csp_2_2","temp_2_1",65
2980,"csp_5_2","temp_1_6",59
2985,"csp_5_6","temp_1_6",58
2988,"csp_5_6","temp_1_6",60
2991,"csp_5_2","temp_1_6",57
3000,"csp_5_2","temp_1_5",60
3012,"csp_5_4","temp_1_6",60
3023,"csp_3_3","temp_1_6",60
3028,"csp_4_6","temp_1_6",60
3037,"csp_5_6","temp_1_6",60
3066,"csp_5_6","temp_1_6",65
3101,"csp_4_8","temp_1_6",60
3114,"csp_2_1","temp_2_2",65
3115,"csp_5_4","temp_1_6",63
3121,"csp_3_3","temp_1_6",56
3131,"csp_4_5","temp_1_6",65
3136,"csp_5_2","temp_1_6",61
3142,"csp_5_2","temp_1_6",64
3171,"csp_4_7","temp_1_6",57
3177,"csp_4_6","temp_1_6",60
3193,"csp_5_4","temp_1_6",60
3194,"csp_2_2","temp_2_1",59
3198,"csp_4_2","temp_1_6",60
3206,"csp_6_2","temp_1_6",60
3207,"csp_6_8","temp_1_6",60
3209,"csp_4_7","temp_1_6",60
3214,"csp_3_1","temp_2_1",60
3222,"csp_6_7","temp_1_6",63
3228,"csp_5_4","temp_1_6",56
3230,"csp_5_5","temp_1_6",60
3234,"csp_6_5","temp_1_6",57
3243,"csp_4_3","temp_1_6",61
3246,"csp_6_3","temp_1_6",55
3248,"csp_4_6","temp_1_6",60
3251,"csp_6_2","temp_1_6",60
3256,"csp_6_7","temp_1_6",60
3260,"csp_5_4","temp_1_6",60
3266,"csp_2_2","temp_2_1",61
3271,"csp_4_5","temp_1_6",65
3277,"csp_5_6","temp_1_6",54
3285,"csp_4_2","temp_2_1",59
3291,"csp_5_3","temp_1_6",60
3306,"csp_6_7","temp_1_6",62
3307,"csp_6_3","temp_1_6",66
3313,"csp_5_6","temp_1_6",65
3318,"csp_2_1","temp_2_1",60
3319,"csp_5_2","temp_1_5",60
3325,"csp_2_3","temp_2_2",60
3342,"csp_3_7","temp_1_6",56
3346,"csp_2_2","temp_2_2",60
3348,"csp_5_2","temp_1_6",60
3351,"csp_4_7","temp_1_5",60
3355,"csp_6_4","temp_1_6",60
3357,"csp_5_2","temp_1_6",60
3365,"csp_4_6","temp_1_6",64
3372,"csp_5_4","temp_1_6",56
3376,"csp_5_2","temp_1_6",60
3378,"csp_3_7","temp_1_6",57
3389,"csp_6_2","temp_1_2",65
3392,"csp_5_6","temp_1_6",59
3398,"csp_5_2","temp_1_6",60
3400,"csp_5_6","temp_1_5",60
3406,"csp_4_2","temp_1_6",60
3409,"csp_5_2","temp_1_6",59
3410,"csp_6_9","temp_1_6",58
3437,"csp_3_8","temp_1_6",65
3467,"csp_2_2","temp_2_1",60
3474,"csp_5_4","temp_1_6",56
3480,"csp_4_6","temp_1_6",69
3481,"csp_5_2","temp_1_5",60
3491,"csp_6_8","temp_1_6",60
3495,"csp_6_8","temp_1_5",62
3497,"csp_4_6","temp_1_6",60
3512,"csp_5_4","temp_1_6",60
3525,"csp_3_5","temp_2_1",60
3529,"csp_5_6","temp_1_6",64
3533,"csp_5_6","temp_1_5",60
3535,"csp_4_6","temp_1_6",57
3542,"csp_5_4","temp_1_6",60
3557,"csp_4_8","temp_1_6",64
3561,"csp_5_2","temp_1_5",60
3570,"csp_2_1","temp_2_1",61
3580,"csp_3_7","temp_1_6",65
3585,"csp_4_6","temp_1_6",55
3597,"csp_5_4","temp_1_6",60
3603,"csp_4_5","temp_1_6",62
3606,"csp_5_3","temp_1_6",56
3613,"csp_3_7","temp_1_6",60
3624,"csp_5_2","temp_1_6",65
3629,"csp_4_5","temp_1_3",60
3631,"csp_4_6","temp_1_6",62
3639,"csp_6_7","temp_1_6",60
3645,"csp_5_3","temp_1_5",60
3653,"csp_3_7","temp_1_6",65
3656,"csp_4_5","temp_1_5",60
3658,"csp_3_4","temp_1_6",60
3662,"csp_5_6","temp_1_6",60
3666,"csp_2_2","temp_2_1",60
3670,"csp_2_3","temp_2_2",60
3683,"csp_2_2","temp_2_1",60
3702,"csp_6_7","temp_1_2",60
3709,"csp_4_3","temp_1_6",60
3714,"csp_4_7","temp_1_6",60
3743,"csp_6_3","temp_1_6",65
3750,"csp_5_4","temp_1_6",60
3760,"csp_4_3","temp_1_6",60
3761,"csp_5_2","temp_1_6",65
3768,"csp_3_7","temp_1_6",64
3774,"csp_5_5","temp_1_6",65
3776,"csp_6_7","temp_1_6",65
3777,"csp_4_5","temp_1_6",60
3792,"csp_5_6","temp_1_6",62
3802,"csp_6_8","temp_1_6",60
3804,"csp_5_4","temp_1_6",65
3805,"csp_5_2","temp_1_6",63
3812,"csp_6_7","temp_1_6",60
3822,"csp_6_8","temp_1_6",60
3837,"csp_5_6","temp_1_6",60
3839,"csp_2_3","temp_2_2",60
3845,"csp_5_4","temp_1_6",60
3849,"csp_5_4","temp_1_6",68
3850,"csp_4_3","temp_1_6",59
3860,"csp_2_2","temp_2_1",60
3863,"csp_2_1","temp_2_2",56
3872,"csp_4_5","temp_1_6",65
3877,"csp_5_4","temp_1_6",64
3888,"csp_3_3","temp_1_6",60
3890,"csp_4_5","temp_1_6",60
3891,"csp_3_8","temp_1_6",60
3905,"csp_3_1","temp_2_1",63
3908,"csp_4_6","temp_2_1",60
3917,"csp_5_5","temp_1_6",64
3922,"csp_5_5","temp_1_6",62
3952,"csp_5_6","temp_1_6",58
3961,"csp_5_2","temp_1_6",58
3963,"csp_2_2","temp_2_2",65
3970,"csp_2_2","temp_2_2",60
3976,"csp_4_8","temp_1_6",65
3979,"csp_5_4","temp_1_6",60
3981,"csp_4_8","temp_1_6",60
3993,"csp_6_3","temp_1_3",65
3996,"csp_5_2","temp_1_3",60
4007,"csp_3_8","temp_1_6",60
4012,"csp_3_3","temp_1_6",58
4017,"csp_4_2","temp_1_6",60
4020,"csp_6_8","temp_1_6",60
4025,"csp_5_6","temp_1_6",58
4030,"csp_6_2","temp_1_6",60
4036,"csp_2_1","temp_2_2",60
4050,"csp_4_3","temp_1_6",60
4052,"csp_4_6","temp_2_1",65
4056,"csp_5_2","temp_1_5",60
4057,"csp_5_6","temp_1_6",60
4058,"csp_6_2","temp_1_6",65
4062,"csp_6_4","temp_1_6",60
4066,"csp_6_8","temp_1_6",65
4077,"csp_6_3","temp_1_6",62
4078,"csp_4_2","temp_1_6",60
4090,"csp_4_3","temp_1_6",58
4097,"csp_4_6","temp_1_6",54
4098,"csp_4_2","temp_1_6",54
4104,"csp_5_2","temp_1_6",60
4128,"csp_4_2","temp_2_1",57
4133,"csp_4_5","temp_1_6",65
4135,"csp_4_6","temp_1_6",57
4136,"csp_6_3","temp_1_6",62
4140,"csp_2_3","temp_2_2",60
4143,"csp_5_2","temp_1_6",65
4167,"csp_4_5","temp_1_6",59
4168,"csp_5_5","temp_1_6",60
4169,"csp_3_3","temp_1_6",61
4172,"csp_6_9","temp_1_2",60
4174,"csp_4_7","temp_2_2",62
4176,"csp_5_6","temp_1_6",60
4184,"csp_5_4","temp_1_6",61
4185,"csp_5_2","temp_1_6",65
4187,"csp_5_2","temp_1_6",60
4212,"csp_4_6","temp_1_6",60
4215,"csp_2_2","temp_2_1",60
4228,"csp_5_4","temp_1_6",60
4243,"csp_4_7","temp_1_6",60
4246,"csp_5_2","temp_1_6",60
4252,"csp_2_2","temp_2_2",60
4259,"csp_5_3","temp_1_6",62
4278,"csp_2_2","temp_2_2",60
4295,"csp_5_6","temp_1_5",60
4307,"csp_6_7","temp_1_6",55
4320,"csp_5_6","temp_1_6",57
4330,"csp_2_3","temp_2_2",63
4340,"csp_4_2","temp_1_6",65
4342,"csp_3_5","temp_1_5",60
4350,"csp_5_2","temp_1_6",65
4364,"csp_5_6","temp_1_6",58
4372,"csp_4_6","temp_1_6",59
4375,"csp_6_8","temp_1_5",59
4389,"csp_5_5","temp_1_6",60
4397,"csp_3_7","temp_1_6",60
4404,"csp_5_4","temp_1_6",60
4414,"csp_4_6","temp_1_6",64
4419,"csp_6_4","temp_1_6",64
4423,"csp_5_4","temp_1_6",58
4425,"csp_3_7","temp_1_6",58
4429,"csp_5_2","temp_1_6",62
4430,"csp_5_5","temp_1_6",57
4439,"csp_3_1","temp_2_1",57
4440,"csp_2_2","temp_2_2",56
4442,"csp_5_2","temp_1_6",60
4447,"csp_3_4","temp_1_6",60
4455,"csp_6_2","temp_1_6",60
4467,"csp_5_2","temp_1_6",60
4474,"csp_4_6","temp_1_6",60
4476,"csp_2_1","temp_2_1",60
4478,"csp_4_2","temp_1_6",57
4479,"csp_4_6","temp_1_6",58
4491,"csp_3_8","temp_1_6",65
4498,"csp_5_4","temp_1_6",60
4502,"csp_5_3","temp_1_6",55
4508,"csp_1_3","temp_2_2",62
4510,"csp_1_2","temp_2_2",54
4522,"csp_5_3","temp_1_6",62
4527,"csp_5_6","temp_1_6",57
4538,"csp_1_1","temp_2_1",56
4568,"csp_3_1","temp_2_2",54
4570,"csp_5_6","temp_1_6",60
4571,"csp_3_7","temp_1_6",60
4574,"csp_5_6","temp_1_5",57
4578,"csp_5_2","temp_1_6",60
4582,"csp_4_2","temp_1_6",65
4585,"csp_4_6","temp_1_6",60
4592,"csp_6_7","temp_1_6",55
4597,"csp_6_3","temp_1_6",60
4604,"csp_4_8","temp_1_6",57
4614,"csp_4_2","temp_1_6",60
4617,"csp_6_2","temp_1_6",60
4621,"csp_5_2","temp_1_6",57
4626,"csp_6_7","temp_1_6",60
4634,"csp_4_6","temp_1_6",60
4646,"csp_5_2","temp_1_5",54
4648,"csp_4_8","temp_1_6",58
4649,"csp_6_7","temp_1_6",65
4653,"csp_3_8","temp_1_6",64
4655,"csp_4_7","temp_1_6",55
4663,"csp_6_7","temp_1_6",70
4668,"csp_6_3","temp_1_6",60
4675,"csp_5_4","temp_1_6",60
4679,"csp_6_4","temp_1_2",65
4683,"csp_4_6","temp_1_6",60
4698,"csp_1_1","temp_2_1",60
4701,"csp_1_1","temp_2_2",63
4706,"csp_3_3","temp_1_6",60
4710,"csp_4_2","temp_2_2",60
4711,"csp_2_2","temp_2_1",60
4719,"csp_5_4","temp_1_6",60
4729,"csp_4_8","temp_1_6",65
4739,"csp_4_2","temp_1_6",59
4740,"csp_6_5","temp_1_6",60
4753,"csp_5_2","temp_1_6",65
4770,"csp_3_3","temp_1_6",59
4771,"csp_6_8","temp_1_5",58
4775,"csp_6_4","temp_1_6",63
4787,"csp_5_6","temp_1_6",65
4791,"csp_4_3","temp_1_6",60
4797,"csp_6_8","temp_1_6",61
4798,"csp_5_6","temp_1_6",60
4816,"csp_6_2","temp_1_5",60
4820,"csp_3_1","temp_2_1",60
4822,"csp_5_2","temp_1_6",63
4840,"csp_5_6","temp_1_6",65
4847,"csp_4_2","temp_1_6",60
4860,"csp_5_6","temp_1_6",60
4874,"csp_6_5","temp_1_6",55
4877,"csp_5_2","temp_1_6",60
4878,"csp_6_7","temp_1_6",56
4893,"csp_3_7","temp_1_6",60
4901,"csp_5_6","temp_1_6",64
4907,"csp_2_1","temp_2_1",56
4917,"csp_6_8","temp_1_6",54
4931,"csp_5_4","temp_1_6",60
4939,"csp_6_8","temp_1_6",59
4955,"csp_5_2","temp_1_6",60
4976,"csp_2_2","temp_2_1",60
4981,"csp_5_4","temp_1_6",60
4982,"csp_4_6","temp_1_6",61
4985,"csp_5_6","temp_1_6",65
4992,"csp_6_8","temp_1_6",65
5003,"csp_5_2","temp_1_5",60
5015,"csp_6_3","temp_1_6",60
5026,"csp_4_6","temp_1_6",65
