Unique_id,COMPANY_CATEGORY,JOB_CONDITION,activity_sector,Job_category,working_hours,EMPLOYEE_COUNT,Remuneration,job_desc,Job_dep,Contract_type
320,"ct_9","C","HZ","O",1438,"tr_2",15525,"641a","38","CDI"
323,"ct_9","C","CA","O",1964,"tr_3",24379,"685a","01","CDI"
328,"ct_9","C","LZ","O",1504,"tr_1",29500,"376g","01","CDI"
332,"ct_9","C","FZ","O",1483,"tr_3",20746,"632a","01","CDI"
338,"ct_7","N","TZ","O",1054,"tr_1",8988,"563c","21","CDI"
343,"ct_9","C","FZ","O",1602,"tr_2",18988,"542a","01","CDI"
344,"ct_8","C","PZ","O",1590,"tr_1",23206,"422e","01","CDI"
345,"ct_8","P","KZ","O",1456,"tr_6",24314,"467c","69","CDI"
350,"ct_9","P","NZ","O",1450,"tr_5",12835,"684a","01","CDI"
360,"ct_9","C","KZ","O",1976,"tr_1",39007,"543e","01","CDI"
365,"ct_6","C","FZ","O",743,"tr_1",7115,"632c","01","CDI"
367,"ct_9","C","GZ","O",1798,"tr_1",23505,"653a","01","CDI"
380,"ct_7","N","TZ","O",1943,"tr_1",22022,"563c","01","CDI"
382,"ct_9","C","CG","O",1027,"tr_6",11378,"625c","01","CDI"
383,"ct_9","C","FZ","O",1820,"tr_4",34425,"472b","69","CDI"
396,"ct_9","C","CG","O",1498,"tr_5",16265,"674a","01","CDI"
403,"ct_9","P","CC","O",600,"tr_4",9444,"477b","01","CDI"
406,NA,"C","QB","O",327,NA,3917,"628g","01","CDI"
408,"ct_9","C","CM","O",1630,"tr_6",17737,"423b","01","CDI"
410,"ct_9","C","CG","O",1754,"tr_4",25812,"674a","01","CDI"
413,"ct_8","C","PZ","O",1820,"tr_3",18989,"422c","01","CDI"
414,"ct_9","C","HZ","O",1949,"tr_4",17173,"641a","78","CDI"
415,"ct_9","C","NZ","O",1358,"tr_1",21185,"372c","01","CDI"
418,"ct_9","C","FZ","O",1820,"tr_2",52106,"380a","38","CDI"
425,"ct_9","C","CH","O",2019,"tr_4",30282,"477b","01","CDI"
426,"ct_2","C","OZ","O",1820,"tr_6",19128,"525b","69","AUT"
435,"ct_9","C","GZ","O",1821,"tr_0",43256,"374d","01","CDI"
437,"ct_9","C","CL","O",1466,"tr_4",19170,"477b","01","CDI"
443,"ct_9","C","KZ","O",1785,"tr_1",35477,"467a","01","CDI"
444,"ct_9","C","SZ","O",360,"tr_5",2340,"685a","01","CDI"
454,"ct_7","N","TZ","O",914,"tr_1",6022,"563c","01","CDI"
456,"ct_9","C","CH","O",1957,"tr_3",27681,"622a","69","CDI"
460,"ct_9","C","HZ","O",1820,"tr_4",30622,"387d","59","CDI"
474,"ct_9","C","FZ","O",1463,"tr_1",16334,"461f","71","CDI"
481,"ct_9","P","GZ","O",1912,"tr_1",17231,"543b","01","CDI"
484,"ct_9","C","CK","O",2028,"tr_2",23425,"628g","71","CDI"
486,"ct_9","C","CL","O",1685,"tr_5",19691,"624f","69","CDI"
487,"ct_1","C","PZ","O",1820,"tr_6",71003,"342b","69","AUT"
495,"ct_6","P","QA","O",1381,"tr_1",15509,"526b","01","CDI"
499,NA,"C","NZ","O",305,"tr_5",3894,"676e","01","CDI"
500,"ct_8","C","QB","O",1556,"tr_5",18760,"434f","01","CDI"
505,"ct_8","C","PZ","O",1820,"tr_5",28077,"341a","69","CDI"
506,"ct_9","C","FZ","O",1671,"tr_3",18604,"632g","01","CDI"
510,"ct_9","C","CM","O",1820,"tr_5",45590,"387b","01","CDI"
512,"ct_8","P","QB","O",1456,"tr_4",22694,"434c","71","CDI"
514,"ct_9","C","KZ","O",1820,"tr_5",37802,"376b","69","CDI"
518,"ct_9","C","JC","O",1820,"tr_1",32677,"478a","01","CDI"
530,"ct_9","C","GZ","O",550,"tr_1",5376,"551a","69","CDI"
544,"ct_9","C","GZ","O",2009,"tr_5",34498,"462b","69","CDI"
549,"ct_8","P","QB","O",1077,"tr_4",17779,"526a","01","CDI"
553,"ct_9","C","CH","O",1554,"tr_2",22076,"623a","38","CDI"
556,"ct_8","P","QB","O",1278,"tr_1",14483,"526a","01","CDI"
557,"ct_9","C","CA","O",1820,"tr_3",26803,"625f","69","CDI"
559,"ct_9","N","NZ","O",235,"tr_1",3249,"466c","38","TTP"
562,"ct_2","C","OZ","O",2028,"tr_6",57801,"472d","01","AUT"
578,"ct_9","P","CA","O",944,"tr_1",12568,"543f","01","CDI"
585,"ct_9","C","NZ","O",1704,"tr_2",21682,"534a","69","CDI"
595,"ct_8","C","QB","O",1187,"tr_4",11750,"526c","69","CDI"
596,"ct_8","P","PZ","O",1387,"tr_4",10983,"525b","01","CDI"
599,"ct_1","P","OZ","O",1456,"tr_3",29569,"435b","01","AUT"
602,"ct_9","C","GZ","O",1705,"tr_2",18486,"541b","01","CDI"
605,"ct_9","C","MC","O",1766,"tr_2",23155,"472a","69","CDI"
610,"ct_9","C","FZ","O",1675,"tr_3",19470,"681a","01","CDI"
619,"ct_9","C","GZ","O",1936,"tr_3",17789,"676c","01","CDI"
620,"ct_9","C","NZ","O",551,"tr_1",5709,"652a","01","TTP"
630,"ct_8","C","PZ","O",1820,"tr_3",28155,"341a","01","CDI"
646,"ct_9","C","FZ","O",938,"tr_5",4305,"632j","38","CDI"
647,"ct_9","C","NZ","O",1441,"tr_1",12916,"674c","01","TTP"
657,"ct_8","C","QB","O",1566,"tr_5",14287,"435b","01","CDI"
659,"ct_8","P","QB","O",1038,"tr_3",38698,"344b","69","CDI"
667,"ct_9","P","GZ","O",989,"tr_1",8313,"554f","01","CDI"
669,"ct_2","C","PZ","O",1820,"tr_3",27540,"421b","74","AUT"
676,"ct_9","C","GZ","O",1638,"tr_2",19247,"462d","74","CDI"
686,"ct_9","C","CH","O",208,"tr_1",9118,"477b","01","CDI"
687,"ct_2","C","OZ","O",1796,"tr_6",17329,"525b","69","AUT"
688,"ct_9","C","HZ","O",2348,"tr_5",27280,"451a","71","CDI"
690,"ct_9","C","SZ","O",1262,"tr_3",13164,"676e","01","CDI"
695,"ct_9","C","CL","O",1626,"tr_3",21060,"623a","69","CDI"
699,"ct_9","P","GZ","O",1671,"tr_1",30773,"433d","69","CDI"
701,"ct_9","P","KZ","O",1357,"tr_1",28839,"467a","01","CDI"
704,"ct_9","C","QA","O",1862,"tr_2",25506,"433a","01","CDI"
707,"ct_9","P","QA","O",1753,"tr_6",24825,"431f","01","CDI"
715,NA,"C","PZ","O",304,NA,7902,"422a","69","CDI"
719,"ct_9","C","HZ","O",2200,"tr_6",27731,"641a","31","CDI"
725,"ct_7","N","TZ","O",378,"tr_1",5463,"563c","01","CDI"
726,"ct_6","C","IZ","O",1181,"tr_0",11548,"488a","01","CDI"
727,"ct_2","P","OZ","O",353,"tr_3",3018,"524c","01","CDI"
738,"ct_9","C","FZ","O",1718,"tr_2",14949,"681a","01","CDI"
741,"ct_9","C","MA","O",1653,"tr_1",27515,"543e","69","CDI"
742,"ct_9","C","CJ","O",1687,"tr_3",15742,"672a","01","CDI"
745,"ct_9","P","HZ","O",1419,"tr_4",16435,"634d","01","CDI"
756,"ct_9","C","CA","O",1672,"tr_4",10325,"674b","01","CDI"
757,"ct_9","C","NZ","O",201,"tr_1",2773,"676e","01","TTP"
765,"ct_9","C","CH","O",1483,"tr_4",14966,"625c","01","CDI"
776,"ct_8","P","PZ","O",1711,"tr_4",18654,"422e","01","CDI"
777,"ct_9","C","NZ","O",1574,"tr_3",27226,"478d","69","CDI"
779,"ct_8","C","QB","O",3000,"tr_3",31604,"534a","69","CDI"
780,"ct_9","C","CG","O",2028,"tr_4",55776,"385a","39","CDI"
782,"ct_9","C","CK","O",1820,"tr_6",25081,"623e","01","CDI"
784,"ct_9","C","QA","O",1820,"tr_3",33029,"433a","01","CDI"
799,"ct_9","C","CG","O",1889,"tr_1",21409,"674a","01","CDI"
800,"ct_1","N","OZ","O",NA,"tr_6",13149,"532c","36","AUT"
812,"ct_9","C","IZ","O",1155,"tr_1",13267,"561c","01","CDI"
820,"ct_9","C","GZ","O",1903,"tr_2",21310,"463b","69","CDI"
821,"ct_5","P","HZ","O",514,"tr_3",7231,"641b","01","CDI"
822,"ct_9","C","GZ","O",1614,"tr_1",19201,"634c","71","CDI"
827,"ct_9","C","FZ","O",1719,"tr_3",25243,"641a","01","CDI"
842,"ct_9","C","GZ","O",1921,"tr_3",69361,"374a","69","CDI"
849,"ct_9","C","GZ","A",374,"tr_1",3088,"543c","01","APP"
855,"ct_9","C","CJ","O",1785,"tr_2",24615,"383b","01","CDI"
858,NA,"P","RZ","O",168,NA,2823,"465b","01","CDI"
859,"ct_9","C","NZ","O",1476,"tr_1",14831,"674b","38","TTP"
860,"ct_9","C","GZ","O",2069,"tr_2",27758,"634c","01","CDI"
864,"ct_9","C","GZ","O",1640,"tr_5",21991,"554c","01","CDI"
866,"ct_9","C","CM","O",1553,"tr_3",27495,"637d","69","CDI"
868,"ct_9","P","NZ","O",1144,"tr_5",8862,"684a","74","CDI"
871,"ct_8","P","QB","O",675,"tr_3",7979,"563b","01","CDI"
878,"ct_9","C","GZ","O",1785,"tr_1",22747,"433d","01","CDI"
885,"ct_9","C","GZ","O",1537,"tr_2",52020,"385c","93","CDI"
886,"ct_8","C","QB","O",598,"tr_4",10778,"526a","01","CDI"
908,"ct_8","C","SZ","O",1725,"tr_2",14740,"526d","01","CDI"
911,"ct_9","C","HZ","O",2017,"tr_5",18961,"641a","74","CDI"
918,"ct_9","P","CA","O",772,"tr_1",6993,"674c","01","CDI"
922,"ct_9","C","NZ","O",1487,"tr_1",15544,"674c","01","TTP"
924,"ct_9","C","CH","O",1774,"tr_2",34870,"474c","69","CDI"
927,"ct_8","P","RZ","O",364,"tr_1",9251,"353b","01","CDI"
934,"ct_9","C","CE","O",1910,"tr_4",34616,"475b","69","CDI"
936,"ct_8","C","QA","O",1820,"tr_3",26411,"431f","01","CDI"
937,"ct_8","P","SZ","O",1620,"tr_1",18190,"543b","01","CDI"
939,"ct_9","C","QA","O",1902,"tr_3",18651,"642a","01","CDI"
945,"ct_8","C","QB","O",1964,"tr_3",22446,"526d","69","CDI"
947,"ct_9","C","CL","O",1970,"tr_4",15292,"673c","01","CDI"
955,"ct_2","P","OZ","O",1552,"tr_4",16578,"621f","01","AUT"
957,"ct_8","C","QA","O",1820,"tr_4",18029,"525d","01","CDI"
964,"ct_9","C","FZ","O",2010,"tr_1",28545,"673c","01","CDI"
971,"ct_9","P","NZ","O",1148,"tr_5",10963,"684a","01","CDI"
973,"ct_9","C","FZ","O",1767,"tr_3",20523,"542a","69","CDI"
981,"ct_6","P","QA","O",1381,"tr_1",15353,"526b","01","CDI"
982,"ct_8","N","PZ","O",915,"tr_2",14178,"423b","69","CDI"
983,"ct_9","C","EZ","O",1820,"tr_1",20128,"684b","01","CDI"
994,"ct_2","C","OZ","O",1820,"tr_6",22464,"525b","69","AUT"
995,"ct_9","C","HZ","O",317,"tr_2",3299,"676a","01","CDI"
996,"ct_9","C","DZ","O",1666,"tr_6",44976,"477c","01","CDI"
1000,"ct_9","C","KZ","O",1527,"tr_2",56929,"376d","75","CDI"
1008,"ct_9","C","JA","O",2028,"tr_3",24096,"461b","69","CDI"
1009,"ct_9","C","JB","O",1806,"tr_6",26551,"478d","75","CDI"
1013,"ct_9","C","HZ","O",2169,"tr_5",23445,"641a","01","CDI"
1015,"ct_9","C","HZ","O",1892,"tr_4",34891,"487a","01","CDI"
1016,"ct_6","C","GZ","O",1694,"tr_1",19903,"634c","01","CDI"
1019,"ct_9","N","HZ","O",1097,"tr_5",10462,"422e","54","CDI"
1020,"ct_9","C","GZ","O",1670,"tr_4",23165,"634a","69","CDI"
1024,"ct_9","C","HZ","O",1593,"tr_4",22968,"546b","01","CDI"
1028,"ct_9","C","IZ","A",1109,"tr_2",6127,"561b","01","APP"
1033,"ct_8","C","PZ","O",1771,"tr_4",33732,"422b","01","CDI"
1035,"ct_9","C","NZ","O",1820,"tr_4",68352,"373d","69","CDI"
1044,"ct_9","C","HZ","O",671,"tr_5",6013,"652a","01","CDI"
1047,"ct_9","C","NZ","O",1821,"tr_3",49862,"632a","01","CDI"
1058,"ct_9","P","QB","O",1076,"tr_4",14742,"525d","01","CDI"
1065,"ct_8","C","RZ","O",1669,"tr_3",17063,"542a","02","CDI"
1066,"ct_9","C","NZ","O",1421,"tr_6",13927,"543g","63","CDI"
1074,"ct_9","C","BZ","O",1948,"tr_1",21077,"621g","02","CDI"
1079,"ct_8","P","QB","O",1248,"tr_3",16479,"461b","02","CDI"
1081,"ct_8","P","QB","O",648,"tr_4",8320,"434d","51","CDI"
1099,"ct_3","C","QA","O",1879,"tr_6",25226,"431f","02","AUT"
1119,"ct_9","C","QB","O",780,"tr_4",8132,"526a","59","CDI"
1128,"ct_9","C","AZ","O",1417,"tr_1",19524,"692a","02","CDI"
1129,"ct_9","C","CH","O",1922,"tr_5",30571,"475a","02","CDI"
1137,"ct_2","P","OZ","X",1044,"tr_2",9546,"524c","02","AUT"
1138,"ct_9","N","NZ","O",1269,"tr_3",15624,"676c","75","TTP"
1142,"ct_8","P","PZ","O",954,"tr_3",8678,"525b","02","CDI"
1146,"ct_9","C","HZ","O",1978,"tr_6",30130,"466c","95","CDI"
1156,"ct_9","C","CH","O",1764,"tr_4",20319,"628b","02","CDI"
1164,NA,"C","TZ","O",509,NA,4890,"563c","02","CDI"
1176,"ct_9","C","GZ","O",1141,"tr_6",12627,"552a","02","CDI"
1189,"ct_9","C","QB","O",749,"tr_0",6155,"525d","02","CDI"
1191,"ct_9","C","FZ","O",1291,"tr_3",14222,"633a","02","CDI"
1197,"ct_9","C","JC","O",1820,"tr_6",55910,"388c","93","CDI"
1198,"ct_9","P","NZ","O",1557,"tr_2",13263,"563b","02","CDI"
1201,"ct_7","N","TZ","O",1033,"tr_1",9767,"563a","02","CDI"
1211,"ct_9","C","HZ","O",1821,"tr_2",23473,"451a","02","CDI"
1213,"ct_9","C","GZ","O",1801,"tr_2",13960,"433d","02","CDD"
1214,"ct_9","C","CG","O",1435,"tr_5",17312,"674a","02","CDI"
1221,"ct_3","C","QA","O",1819,"tr_6",20584,"526a","02","CDD"
1225,"ct_9","C","HZ","O",1810,"tr_6",21885,"451a","77","CDI"
1232,"ct_9","P","NZ","O",873,"tr_5",6459,"684a","02","CDI"
1237,"ct_3","P","QA","O",1213,"tr_5",12309,"525d","02","CDD"
1243,"ct_9","C","GZ","O",2106,"tr_3",22284,"641a","02","CDI"
1244,"ct_8","C","QB","O",1820,"tr_4",22511,"461d","02","CDI"
1246,"ct_9","C","NZ","O",1555,"tr_6",19288,"534a","93","CDI"
1249,"ct_9","P","IZ","O",277,"tr_3",2683,"561d","02","TOA"
1256,"ct_9","C","CJ","O",1366,"tr_5",14139,"676e","02","CDI"
1257,"ct_9","C","NZ","O",1471,"tr_1",24395,"676e","02","TTP"
1261,"ct_9","C","HZ","O",688,"tr_3",9337,"641a","13","TOA"
1262,"ct_9","C","CB","O",1142,"tr_5",17789,"543h","02","CDI"
1263,"ct_8","P","KZ","O",1391,"tr_5",34476,"467c","02","CDI"
1270,"ct_6","C","IZ","O",1255,"tr_2",14683,"488a","02","CDI"
1278,"ct_9","C","CM","O",1410,"tr_6",19563,"626b","02","CDI"
1280,"ct_3","C","QA","O",1820,"tr_6",34985,"332b","51","CDI"
1284,"ct_9","C","FZ","O",1709,"tr_3",23389,"542a","02","CDI"
1289,"ct_8","P","PZ","O",954,"tr_3",9252,"525b","02","CDI"
1292,"ct_9","C","HZ","O",1757,"tr_4",34706,"481b","02","CDI"
1295,"ct_7","N","TZ","O",947,"tr_1",11436,"563c","02","CDI"
1305,"ct_9","C","CH","O",1106,"tr_3",7985,"626b","02","CDI"
1307,"ct_9","C","CA","A",1123,"tr_1",3452,"683a","02","APP"
1308,NA,"P","OZ","O",135,NA,2468,"435b","02","CDI"
1314,"ct_9","C","FZ","O",1690,"tr_1",18208,"633a","51","CDI"
1321,"ct_6","P","SZ","O",838,"tr_1",6463,"562b","02","CDI"
1324,"ct_8","C","QB","O",1820,"tr_2",26603,"526d","59","CDI"
1327,"ct_4","C","OZ","O",1820,"tr_3",20767,"451g","02","CDI"
1329,"ct_9","P","GZ","O",1106,"tr_1",9370,"554e","02","CDI"
1330,"ct_3","C","QA","O",1820,"tr_6",20085,"451h","02","CDI"
1333,"ct_9","C","JB","X",427,"tr_4",4922,"463e","02","AUT"
1335,"ct_9","C","CB","O",518,"tr_1",7820,"374d","77","CDI"
1337,"ct_8","C","MA","O",1820,"tr_1",15783,"461d","02","CDI"
1343,"ct_9","C","NZ","O",1054,"tr_1",10142,"676c","02","TTP"
1347,"ct_9","P","GZ","O",1173,"tr_0",17114,"544a","02","CDI"
1354,"ct_9","C","CH","O",1443,"tr_1",57309,"374d",NA,"CDI"
1357,"ct_8","C","OZ","O",1976,"tr_4",26720,"467d","02","CDI"
1365,"ct_9","C","CL","O",1964,"tr_4",20067,"477b","80","CDI"
1377,"ct_2","P","QB","O",1279,"tr_5",16800,"563b","02","AUT"
1394,"ct_9","C","FZ","O",1705,"tr_2",19922,"633a","60","CDI"
1401,"ct_8","N","RZ","O",440,"tr_4",5094,"435b","59","AUT"
1419,"ct_9","C","HZ","O",2192,"tr_5",29120,"641a","57","CDI"
1424,"ct_1","C","OZ","O",2028,"tr_6",22150,"532a","36","AUT"
1425,"ct_9","C","MB","O",1736,"tr_3",61417,"475a","60","CDI"
1428,"ct_3","C","QA","O",1765,"tr_6",20687,"526a","59","CDI"
1430,"ct_9","C","FZ","A",616,"tr_4",5439,"633a","02","APP"
1431,"ct_9","P","HZ","O",551,"tr_3",4272,"641b","02","CDI"
1438,"ct_9","C","CM","O",2065,"tr_2",53851,"477b","95","CDI"
1445,"ct_8","C","PZ","O",1693,"tr_3",15058,"388c","02","CDI"
1452,"ct_9","C","GZ","O",1808,"tr_1",20923,"433d","02","CDI"
1453,"ct_9","C","CL","O",2009,"tr_1",22355,"634a","95","CDI"
1455,"ct_8","C","QB","O",1726,"tr_3",18281,"526d","02","CDI"
1459,"ct_9","C","GZ","O",1951,"tr_2",27850,"462b","51","CDI"
1460,"ct_9","C","CA","O",1895,"tr_4",25679,"674c","02","CDI"
1463,"ct_9","P","IZ","O",393,"tr_5",5336,"561f","02","CDI"
1465,"ct_9","C","CA","O",1917,"tr_5",35778,"372b","51","CDI"
1469,"ct_9","C","CL","O",2013,"tr_5",29752,"626b","60","CDI"
1472,"ct_9","C","DZ","O",1778,"tr_4",24290,"477c","02","CDI"
1479,"ct_2","C","OZ","O",1819,"tr_4",21614,"524c","02","AUT"
1482,"ct_9","C","NZ","O",2108,"tr_2",26639,"637d","02","CDI"
1483,"ct_9","C","GZ","O",1835,"tr_5",22340,"552a","02","CDI"
1487,"ct_1","C","PZ","O",1820,"tr_4",24749,"341a","02","AUT"
1489,"ct_9","C","CA","O",1969,"tr_6",29151,"674c","02","CDI"
1500,"ct_9","C","MA","O",1827,"tr_5",29805,"542a","77","CDI"
1501,"ct_3","C","QA","O",1819,"tr_6",22808,"526a","02","CDI"
1502,"ct_9","C","GZ","X",1858,"tr_1",28030,"433d","02","CDI"
1504,"ct_8","C","PZ","O",1820,"tr_1",33173,"421b","02","CDI"
1518,"ct_9","P","GZ","O",621,"tr_1",7133,"554b","02","CDI"
1522,"ct_2","C","OZ","O",1852,"tr_5",18549,"523c","02","AUT"
1523,"ct_9","C","CA","O",1820,"tr_5",28887,"674c","02","CDI"
1535,"ct_8","C","PZ","O",1653,"tr_4",15797,"422e","02","CDI"
1538,"ct_8","C","RZ","O",1732,"tr_1",24167,"424a","51","CDI"
1541,"ct_9","C","NZ","O",533,"tr_1",4621,"676e","02","TTP"
1543,"ct_9","P","GZ","O",355,"tr_1",5329,"553c","02","CDI"
1544,"ct_9","C","CH","O",1762,"tr_4",18549,"674d","02","CDI"
1549,"ct_9","P","LZ","O",630,"tr_1",6820,"543f","02","CDI"
1552,"ct_9","P","QB","O",1242,"tr_3",12236,"563b","02","CDI"
1557,"ct_8","P","PZ","O",799,"tr_2",16355,"341a","02","CDI"
1565,"ct_9","C","GZ","O",1577,"tr_5",19198,"462e","02","CDI"
1570,"ct_8","C","QB","O",1848,"tr_4",23284,"434f","02","CDI"
1571,"ct_9","C","MA","O",2028,"tr_3",17155,"543h","02","CDI"
1578,"ct_9","C","KZ","O",1820,"tr_6",34293,"467a","02","CDI"
1580,"ct_9","C","CH","O",1878,"tr_6",26202,"628c","02","CDI"
1581,"ct_9","C","KZ","O",1801,"tr_1",19990,"543b","80","CDI"
1607,"ct_9","C","NZ","O",687,"tr_2",12074,"543f","75","CDI"
1616,"ct_8","C","MA","O",1820,"tr_3",26814,"461d","02","CDI"
1619,"ct_9","C","NZ","O",1694,"tr_3",10464,"684a","51","CDI"
1627,"ct_9","C","CA","A",1820,"tr_6",21846,"628a","80","APP"
1631,NA,"C","QB","O",240,NA,2222,"563b","02","CDI"
1632,"ct_9","P","CA","O",640,"tr_2",7013,"554a","02","CDI"
1634,"ct_9","C","GZ","O",1990,"tr_1",18638,"636b","02","CDI"
1640,"ct_9","C","EZ","O",1759,"tr_1",15348,"652a","02","CDI"
1643,"ct_9","C","MA","O",1799,"tr_1",38493,"382d","02","CDI"
1645,"ct_9","N","NZ","O",1336,"tr_1",16572,"632a","02","TTP"
1673,"ct_9","C","NZ","O",1506,"tr_6",15134,"534a","93","CDI"
1677,"ct_6","P","IZ","O",788,"tr_1",8538,"561c","02","CDD"
1682,"ct_9","C","GZ","O",1973,"tr_4",24993,"543b","02","CDI"
1686,"ct_8","C","QB","O",1787,"tr_4",21732,"628g","02","CDI"
1690,"ct_9","C","HZ","O",2200,"tr_3",25543,"641a","38","CDI"
1699,"ct_9","C","CE","O",1806,"tr_6",29761,"475b","59","CDI"
1701,"ct_9","C","HZ","O",781,"tr_6",23752,"389a","75","CDI"
1703,"ct_9","C","LZ","O",1496,"tr_1",31225,"387e","02","CDI"
1709,"ct_9","C","CG","O",1767,"tr_6",24299,"652a","02","CDI"
1714,"ct_8","C","PZ","O",1820,"tr_4",38627,"341a","02","CDI"
1721,"ct_3","P","QB","X",1106,"tr_3",10983,"525d","02","AUT"
1722,"ct_2","P","OZ","O",536,"tr_1",5082,"621f","02","CDI"
1723,"ct_6","C","PZ","O",1442,"tr_1",15250,"423a","02","CDI"
1724,"ct_9","C","GZ","O",1814,"tr_0",30241,"463b","02","CDI"
1726,"ct_9","C","GZ","O",1666,"tr_3",23646,"634c","51","CDI"
1730,"ct_8","C","QB","O",1329,"tr_4",16569,"525d","77","CDI"
1740,"ct_9","C","NZ","O",1035,"tr_1",11689,"684b","02","TTP"
1742,"ct_9","C","FZ","O",817,"tr_3",8405,"632j","51","CDI"
1743,NA,"C","TZ","O",767,NA,7203,"563c","02","CDI"
1750,"ct_8","C","QB","O",1794,"tr_5",22432,"526a","08","CDI"
1761,"ct_9","C","CA","O",1093,"tr_6",15189,"676e","80","TOA"
1762,"ct_9","C","FZ","O",1820,"tr_2",18384,"634b","02","CDI"
1766,"ct_9","C","HZ","O",1716,"tr_4",18882,"652a","60","CDI"
1768,"ct_9","C","GZ","O",2184,"tr_2",25156,"636a","02","CDI"
1771,"ct_8","C","QB","O",1329,"tr_4",17248,"525d","77","CDI"
